"location","source","target"
"","biderrorbody.Description1","لاسباب امنية ، <<BRAND>>ستحد من عدد من العروض اليوميه يسمح لكل مستخدم.<br />اذا كنت تريد عرض على اكثر البنود يرجى الاتصال بنا على"
"","biderrorbody.Hello","مرحباً"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","شكرا لك!"
"","biderrorheader.Click","انقر هنا"
"","biderrorheader.Hello",", مرحباً"
"","biderrorheader.Hello!","¡ مرحباً !"
"","biderrorheader.Help","مساعدة"
"","biderrorheader.Home","الصفحه الرئيسية"
"","biderrorheader.My OLX","بلدي OLX"
"","biderrorheader.Not_You?"," لا أنت"
"","biderrorheader.Or","أو"
"","biderrorheader.Post","وضع أعلان"
"","biderrorheader.Register","سجِل"
"","buyerinfo.Buyer","شراء"
"","buyerinfo.E-mail","البريد الالكتروني"
"","buyerinfo.Item","بند"
"","buyerinfo.OLXHomePage"," OLX الرجوع لا لي"
"","buyerinfo.PageTitle","OLX  لي >> <span class=""titOLX2"">معلومات الشراء </span>"
"","buyerinfo.Price","سعر"
"","countryoptions.Accept","وفاق "
"","countryoptions.AllCanton","كل القرى "
"","countryoptions.AllCities","All Cities"
"","countryoptions.AllCounties","All Counties"
"","countryoptions.AllDepartaments","All Departments"
"","countryoptions.AllDepartments","All Departments"
"","countryoptions.AllEmirate","All Emirates"
"","countryoptions.AllLanguages","كل الغات "
"","countryoptions.AllPrefectures","All Prefectures"
"","countryoptions.AllProvince","كل المحافظات "
"","countryoptions.AllRegions","كل المناطق "
"","countryoptions.AllStates","كل الولايات "
"","countryoptions.BrandMobile","<<BRAND>> Mobile"
"","countryoptions.Canton","قرية "
"","countryoptions.ChangeCity","Change City"
"","countryoptions.ChangeCountry","Change Country"
"","countryoptions.ChooseCountry","أختر قرية"
"","countryoptions.ChooseEmirate","اختر امارات "
"","countryoptions.ChooseProvince","اختر محافظة / منطقة "
"","countryoptions.City","مدينة / منطقة سكنية "
"","countryoptions.CityOrZip","مدينة أو رقم تعارف "
"","countryoptions.citySelect","Most important cities of "
"","countryoptions.ClickHereIfCantFindCity","Click here if you can't find your city"
"","countryoptions.ClickHereToEnterACity","Click here to enter a City"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Click here to enter a Zip Code or City"
"","countryoptions.ClickHereToSelectTheCityFromAList","Click here to select the city from a list"
"","countryoptions.Country","بلد "
"","countryoptions.County","قرية "
"","countryoptions.departamentSelect","Most important department of "
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","مسافة "
"","countryoptions.Emirate","الاماره"
"","countryoptions.emirateSelect","Most important emirates of "
"","countryoptions.EnterCity","أدخل المدينة "
"","countryoptions.EnterCityOrZipCode","أدخل المدينة أو صندوق البريد"
"","countryoptions.EntireCountry","Entire Country"
"","countryoptions.Exact","بالظبط "
"","countryoptions.example","مثالل "
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","More"
"","countryoptions.Home_SelectCanton","Select a canton"
"","countryoptions.Home_SelectCity","Select a city"
"","countryoptions.Home_SelectDepartment","Select a department"
"","countryoptions.Home_SelectEmirate","Select an emirate"
"","countryoptions.Home_SelectProvince","Select a province"
"","countryoptions.Home_SelectRegion","Select a region"
"","countryoptions.Home_SelectState","Select a state"
"","countryoptions.ListingLanguage","اعلان في "
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Look for ads in your region by selecting it on the map"
"","countryoptions.Municipality","Municipality"
"","countryoptions.NoCities","نتأسف . لايوجد مدن في هذا القطاع"
"","countryoptions.NoCountries","نتأسف . لايوجد مدن في هذا القطاع"
"","countryoptions.Ok","نعم "
"","countryoptions.Or","أو اختر مدينة "
"","countryoptions.OrSelectACity","أو اختر مدينة "
"","countryoptions.OrSelectARegion","أختر منطقة "
