"location","source","target"
"","biderrorbody.Description1","Due to security reasons, <<BRAND>> will limit the number of daily bids allowed per user.<br />If you want to bid on more items please contact us at "
"","biderrorbody.Hello","Hola"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Gràcies!"
"","biderrorheader.Click","feu clic aquí"
"","biderrorheader.Hello","Hola, "
"","biderrorheader.Hello!","Hola!"
"","biderrorheader.Help","Ajuda"
"","biderrorheader.Home","Inici"
"","biderrorheader.My OLX","El meu OLX"
"","biderrorheader.Not_You?","tu no"
"","biderrorheader.Or","o"
"","biderrorheader.Post","Publicar"
"","biderrorheader.Register","Registrar"
"","buyerinfo.Buyer","Comprador"
"","buyerinfo.E-mail","Correu electrònic"
"","buyerinfo.Item","Article"
"","buyerinfo.OLXHomePage","Tornar a El meu OLX"
"","buyerinfo.PageTitle","El meu OLX >> <span class=""titOLX2"">Informació del comprador</span>"
"","buyerinfo.Price","Preu"
"","countryoptions.Accept","Accepta"
"","countryoptions.AllCanton","Tots els condats"
"","countryoptions.AllCities","Totes les ciutats"
"","countryoptions.AllCounties","Tots els països"
"","countryoptions.AllDepartaments","Tots els departaments"
"","countryoptions.AllDepartments","Tots els departaments"
"","countryoptions.AllEmirate","Tots els emirats"
"","countryoptions.AllLanguages","Tots els idiomes"
"","countryoptions.AllPrefectures","Totes les prefectures"
"","countryoptions.AllProvince","Totes les províncies"
"","countryoptions.AllRegions","Totes les regions"
"","countryoptions.AllStates","Més"
"","countryoptions.BrandMobile","<<BRAND>> Mòbil"
"","countryoptions.Canton","Condat"
"","countryoptions.ChangeCity","Canvia la ciutat"
"","countryoptions.ChangeCountry","Canvia el país"
"","countryoptions.ChooseCountry","Escolliu Condat"
"","countryoptions.ChooseEmirate","Escolliu emirat"
"","countryoptions.ChooseProvince","Escolliu província"
"","countryoptions.City","Ciutat:"
"","countryoptions.CityOrZip","Ciutat o codi postal"
"","countryoptions.citySelect","Seleccioneu una ciutat:"
"","countryoptions.ClickHereIfCantFindCity","Si no trobes la teva ciutat fes clic aquí"
"","countryoptions.ClickHereToEnterACity","Fes clic aquí per introduir una ciutat"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Fes clic aquí per introduir un codi postal o una ciutat"
"","countryoptions.ClickHereToSelectTheCityFromAList","Fes clic aquí per seleccionar una ciutat de la llista"
"","countryoptions.Country","País:"
"","countryoptions.County","Condat"
"","countryoptions.departamentSelect","Departaments més importants de"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Distància"
"","countryoptions.Emirate","Emirat"
"","countryoptions.emirateSelect","Emirats més importants de"
"","countryoptions.EnterCity","Introduïu una ciutat"
"","countryoptions.EnterCityOrZipCode","Introduïu una ciutat o un codi postal"
"","countryoptions.EntireCountry","Tot el país"
"","countryoptions.Exact","Exacte"
"","countryoptions.example","exemple"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Més"
"","countryoptions.Home_SelectCanton","Seleccioneu un condat"
"","countryoptions.Home_SelectCity","Seleccioneu una ciutat"
"","countryoptions.Home_SelectDepartment","Seleccioneu un departament"
"","countryoptions.Home_SelectEmirate","Seleccioneu un emirat"
"","countryoptions.Home_SelectProvince","Seleccioneu una província"
"","countryoptions.Home_SelectRegion","Seleccioneu una regió"
"","countryoptions.Home_SelectState","Seleccioneu un estat"
"","countryoptions.ListingLanguage","Anuncis a"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Busca anuncis a la teva zona seleccionant-la al mapa"
"","countryoptions.Municipality","Municipi"
"","countryoptions.NoCities","Sorry, we don't have any cities in this section"
"","countryoptions.NoCountries","Ho sentim, no tenim cap país en aquesta secció"
"","countryoptions.Ok","Ok"
"","countryoptions.Or","O seleccioneu una ciutat"
"","countryoptions.OrSelectACity","O seleccioneu una ciutat"
