"location","source","target"
"","biderrorbody.Description1","Z bezpečnostních důvodů společnost <<BRAND>> omezuje denní počet cenových nabídek na uživatele.<br />Chcete-li zaslat cenovou nabídku k většímu množství zboží, kontaktujte nás prosím na adrese"
"","biderrorbody.Hello","Dobrý den!"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Děkujeme vám!"
"","biderrorheader.Click","klepněte sem"
"","biderrorheader.Hello","Dobrý den!"
"","biderrorheader.Hello!","Dobrý den!"
"","biderrorheader.Help","Nápověda"
"","biderrorheader.Home","Domů"
"","biderrorheader.My OLX","Moje OLX"
"","biderrorheader.Not_You?","nejste to vy"
"","biderrorheader.Or","nebo"
"","biderrorheader.Post","Odeslat"
"","biderrorheader.Register","Registrovat"
"","buyerinfo.Buyer","Kupující"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","Zboží"
"","buyerinfo.OLXHomePage","Zpět na Moje OLX"
"","buyerinfo.PageTitle","Moje OLX >> <span class=""titOLX2"">Údaje o kupujícím</span>"
"","buyerinfo.Price","Cena"
"","countryoptions.Accept","Přijmout"
"","countryoptions.AllCanton","Všechny kantony"
"","countryoptions.AllCities","Všechna města"
"","countryoptions.AllCounties","Všechny okresy"
"","countryoptions.AllDepartaments","Všechny departementy"
"","countryoptions.AllDepartments","All Departments"
"","countryoptions.AllEmirate","Všechny emiráty"
"","countryoptions.AllLanguages","Všechny jazyky"
"","countryoptions.AllPrefectures","Všechny prefektury"
"","countryoptions.AllProvince","Všechny provincie"
"","countryoptions.AllRegions","Všechny kraje"
"","countryoptions.AllStates","Všechny státy"
"","countryoptions.BrandMobile","Mobilní <<BRAND>>"
"","countryoptions.Canton","Kanton"
"","countryoptions.ChangeCity","Změnit město"
"","countryoptions.ChangeCountry","Změnit zemi"
"","countryoptions.ChooseCountry","Vyberte zemi"
"","countryoptions.ChooseEmirate","Vyberte emirát"
"","countryoptions.ChooseProvince","Vyberte provincii"
"","countryoptions.City","Město:"
"","countryoptions.CityOrZip","Město nebo PSČ"
"","countryoptions.citySelect","Vyberte město"
"","countryoptions.ClickHereIfCantFindCity","Klepněte sem, pokud nevidíte své město."
