"location","source","target"
"","biderrorbody.Description1","Due to security reasons, <<BRAND>> will limit the number of daily bids allowed per user.<br />If you want to bid on more items please contact us at "
"","biderrorbody.Hello","Hej"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Tak!"
"","biderrorheader.Click","klik her"
"","biderrorheader.Hello","Hej, "
"","biderrorheader.Hello!","Hej!"
"","biderrorheader.Help","hjælp"
"","biderrorheader.Home","Hjem"
"","biderrorheader.My OLX","Min OLX"
"","biderrorheader.Not_You?","ikke dig"
"","biderrorheader.Or","eller"
"","biderrorheader.Post","Indryk"
"","biderrorheader.Register","Tilmeld"
"","buyerinfo.Buyer","Køber"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","genstand"
"","buyerinfo.OLXHomePage","Tilbage til min OLX"
"","buyerinfo.PageTitle","Min OLX >> <span class=""titOLX2"">Køber-oplysninger</span>"
"","buyerinfo.Price","Pris"
"","countryoptions.Accept","Accepter"
"","countryoptions.AllCanton","Alle kantoner"
"","countryoptions.AllCities","Alle byer"
"","countryoptions.AllCounties","Alle lande"
"","countryoptions.AllDepartaments","Alle afdelinger"
"","countryoptions.AllDepartments","Alle afdelinger"
"","countryoptions.AllEmirate","Alle emirater"
"","countryoptions.AllLanguages","Alle sprog"
"","countryoptions.AllPrefectures","Alle præfekturer"
"","countryoptions.AllProvince","Alle områder"
"","countryoptions.AllRegions","Alle regioner"
"","countryoptions.AllStates","Mere"
"","countryoptions.BrandMobile","<<BRAND>> mobil"
"","countryoptions.Canton","Kanton"
"","countryoptions.ChangeCity","Skift by"
"","countryoptions.ChangeCountry","Skift land"
"","countryoptions.ChooseCountry","Vælg land"
"","countryoptions.ChooseEmirate","Vælg emirat"
"","countryoptions.ChooseProvince","Vælg provins"
"","countryoptions.City","By:"
"","countryoptions.CityOrZip","By eller postnummer"
"","countryoptions.citySelect","Vælg en by:"
"","countryoptions.ClickHereIfCantFindCity","Klik her, hvis du ikke kan finde din by"
"","countryoptions.ClickHereToEnterACity","Klik her for at indtaste en by"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Klik her for at indtaste postnummer eller by"
"","countryoptions.ClickHereToSelectTheCityFromAList","Klik her for atvælge en by i listen"
"","countryoptions.Country","Land:"
"","countryoptions.County","Amt"
"","countryoptions.departamentSelect","De vigtigste afdelinger i"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Afstand"
"","countryoptions.Emirate","Emirat"
"","countryoptions.emirateSelect","De vigtigste emirater i"
"","countryoptions.EnterCity","Indtast en by"
"","countryoptions.EnterCityOrZipCode","Indtast en by eller et postnummer"
"","countryoptions.EntireCountry","Hele landet"
"","countryoptions.Exact","Præcis"
"","countryoptions.example","eksempel"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Mere"
"","countryoptions.Home_SelectCanton","Vælg en kanton"
"","countryoptions.Home_SelectCity","Vælg en by"
"","countryoptions.Home_SelectDepartment","Vælg en afdeling"
"","countryoptions.Home_SelectEmirate","Vælg et emirat"
