"location","source","target"
"","biderrorbody.Description1","Aus Sicherheitsgründen ist die Anzahl der abgebbaren Gebote bei <<BRAND>> begrenzt.<br />Wenn Sie weitere Gebote abgeben möchten, setzen Sie sich bitte mit unserem "
"","biderrorbody.Hello","Hallo"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Vielen Dank!"
"","biderrorheader.Click","Hier klicken"
"","biderrorheader.Hello","Hallo"
"","biderrorheader.Hello!","Hallo!"
"","biderrorheader.Help","Hilfe"
"","biderrorheader.Home","Startseite"
"","biderrorheader.My OLX","Mein OLX"
"","biderrorheader.Not_You?","Nicht Sie"
"","biderrorheader.Or","oder"
"","biderrorheader.Post","Kleinanzeige schalten"
"","biderrorheader.Register","Registrieren"
"","buyerinfo.Buyer","Kunde"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","Item"
"","buyerinfo.OLXHomePage","Zurück zu ""Mein OLX"""
"","buyerinfo.PageTitle","Mein OLX >> <span class=""titOLX2"">Informationen &#250;ber den Kunde</span>"
"","buyerinfo.Price","Preis"
"","countryoptions.Accept","Akzeptieren"
"","countryoptions.AllCanton","Alle Kantons"
"","countryoptions.AllCities","Alle Städte"
"","countryoptions.AllCounties","Alle Länder"
"","countryoptions.AllDepartaments","Alle Abteilungen"
"","countryoptions.AllDepartments","Alle Abteilungen"
"","countryoptions.AllEmirate","Alle Emirate"
"","countryoptions.AllLanguages","Alle Sprachen"
"","countryoptions.AllPrefectures","Alle Präfekturen"
"","countryoptions.AllProvince","Alle Provinzen"
"","countryoptions.AllRegions","Alle Regionen"
"","countryoptions.AllStates","Weitere"
"","countryoptions.BrandMobile","<<BRAND>> Mobile"
"","countryoptions.Canton","Kanton"
"","countryoptions.ChangeCity","Stadt ändern"
"","countryoptions.ChangeCountry","Land ändern"
"","countryoptions.ChooseCountry","Land wählen"
"","countryoptions.ChooseEmirate","Bitte wählen Sie ein Emirat"
"","countryoptions.ChooseProvince","Bitte wählen Sie eine Provinz"
"","countryoptions.City","Stadt:"
"","countryoptions.CityOrZip","Stadt oder Postleitzahl"
"","countryoptions.citySelect","Stadt auswählen:"
"","countryoptions.ClickHereIfCantFindCity","Klicken Sie hier, wenn Sie Ihre Stadt nicht finden können"
"","countryoptions.ClickHereToEnterACity","Hier klicken, um eine Stadt einzugeben"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Hier klicken, um eine Postleitzahl oder eine Stadt einzugeben"
"","countryoptions.ClickHereToSelectTheCityFromAList","Hier klicken, um die Stadt aus einer Liste auszuwählen"
"","countryoptions.Country","Land:"
"","countryoptions.County","Bundesland"
"","countryoptions.departamentSelect","Regierungsbezirk auswählen:"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Distanz"
"","countryoptions.Emirate","Emirat"
"","countryoptions.emirateSelect","Emirat auswählen:"
"","countryoptions.EnterCity","Geben Sie eine Stadt ein"
"","countryoptions.EnterCityOrZipCode","Stadt oder Postleitzahl eingeben"
"","countryoptions.EntireCountry","Gesamtes Land"
"","countryoptions.Exact","Exakt"
"","countryoptions.example","Beispiel"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Mehr"
"","countryoptions.Home_SelectCanton","Kanton auswählen"
"","countryoptions.Home_SelectCity","Stadt auswählen"
"","countryoptions.Home_SelectDepartment","Regierungsbezirk auswählen"
"","countryoptions.Home_SelectEmirate","Emirat auswählen"
"","countryoptions.Home_SelectProvince","Provinz auswählen"
"","countryoptions.Home_SelectRegion","Region auswählen"
"","countryoptions.Home_SelectState","Bundesland auswählen"
"","countryoptions.ListingLanguage","Kleinanzeigen in"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Wählen Sie auf der Karte Ihre Region und suchen Sie nach Angeboten aus Ihrer Umgebung"
"","countryoptions.Municipality","Gemeinde"
"","countryoptions.NoCities","Leider gibt es keine Städte in diesem Bereich"
"","countryoptions.NoCountries","Leider gibt es keine Länder in diesem Bereich"
"","countryoptions.Ok","Ok"
"","countryoptions.Or","Oder"
"","countryoptions.OrSelectACity","Oder"
"","countryoptions.OrSelectARegion","W&#228;hlen Sie ein Bundesland"
"","countryoptions.OtherCities","Andere Städte"
"","countryoptions.OtherCitiesInRegion","Andere Städte in <<REGION>>"
"","countryoptions.OtherProvinces","Andere Provinzen"
"","countryoptions.OtherRegions","Andere Regionen"
"","countryoptions.OtherStates","Andere Bundesländer"
"","countryoptions.PleaseChooseYourCity","Bitte wählen Sie Ihre Stadt"
"","countryoptions.PleaseChooseYourCounty","Bitte wählen Sie Ihr Land"
"","countryoptions.PleaseChooseYourPrefecture","Bitte wählen Sie Ihre Präfektur"
"","countryoptions.PleaseEnterYourZipCode","Bitte geben Sie Ihre Postleitzahl an"
"","countryoptions.PleaseSelectACity","Bitte wählen Sie eine Stadt"
"","countryoptions.PleaseSelectACountry","Bitte wählen Sie ein Land aus"
"","countryoptions.PostAdd","Jetzt Kleinanzeige aufgeben"
"","countryoptions.Prefecture","Präfektur"
"","countryoptions.ProvinceRegion","Provinz/ Region:"
"","countryoptions.provinceSelect","Provinzen:"
"","countryoptions.Region","Region"
"","countryoptions.regionCantonSelect","Kantone:"
"","countryoptions.regionSelect","Bundesländer:"
"","countryoptions.SelectACanton","Kanton auswählen"
"","countryoptions.SelectACity","Stadt auswählen"
"","countryoptions.SelectACityInRegion","Eine Stadt in <<REGION>> auswählen"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","Regierungsbezirk auswählen"
"","countryoptions.SelectANeighborhood","Wählen Sie eine Nachbarschaft aus"
"","countryoptions.SelectAnEmirate","Emirat auswählen"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","Provinz auswählen"
"","countryoptions.SelectARegion","Region auswählen"
"","countryoptions.SelectAState","Bundesland auswählen"
"","countryoptions.SelectCanton","Kanton auswählen"
"","countryoptions.SelectCityState","Stadt oder Bundesland wählen"
"","countryoptions.SelectCountry","W&#228;hlen Sie ein Land"
"","countryoptions.SelectCounty","Land wählen"
"","countryoptions.SelectDepartament","Abteilung auswählen"
"","countryoptions.SelectDepartment","Abteilung auswählen"
"","countryoptions.SelectedRegion","Ausgewählte Region"
"","countryoptions.SelectOnTheMap","Auf der Karte auswählen"
"","countryoptions.SelectPrefecture","Präfektur wählen"
"","countryoptions.SelectProvince","Wählen Sie Provinz "
"","countryoptions.SelectRegion","W&#228;hlen Sie ein Bundesland"
"","countryoptions.SelectState","Bundesland wählen"
"","countryoptions.SendBrandBySmsToTheNumber","Send <<BRAND>> by SMS to the number 21616"
"","countryoptions.Send_OLX_to_number_3000","<<BLACKSTRONG>><<BRAND>><</BLACKSTRONG>> an Nummer <<BLACKSTRONG>>3000<</BLACKSTRONG>> schicken"
"","countryoptions.SiteLanguage","Sprache der Webseite"
"","countryoptions.State","W&#228;hlen Sie ein Bundesland"
"","countryoptions.stateSelect","Bundesstaat auswählen:"
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","Die von Ihnen gewählte Stadt gibt es in mehreren Bundesländern. Bitte geben Sie das entsprechende Bundesland an:"
"","countryoptions.Town","Stadt"
"","countryoptions.Wait","Bitte warten..."
"","countryoptions.ZipCodeOrCity","Postleitzahl oder Stadt"
"","defaultfooter.About OLX","Über <<BRAND>>"
"","defaultfooter.ADS_REGION","Kleinanzeigen in <<REGION>>"
"","defaultfooter.AdvancedSearch","Erweiterte Suche"
"","defaultfooter.AllListings","Alle Kleinanzeigen"
"","defaultfooter.AllStates","Städte durchsuchen"
"","defaultfooter.Back","Zurück"
"","defaultfooter.BrandFreeClassifieds","100% kostenlose Kleinanzeigen"
"","defaultfooter.BrowseAds","Kleinanzeigen durchsuchen"
"","defaultfooter.change","wechseln"
"","defaultfooter.classifiedGratuitous","Kostenlose Kleinanzeigen"
"","defaultfooter.ClassifiedsAndMuchMore","Kleinanzeigen und vieles mehr!"
"","defaultfooter.ClassifiedsHelp","Kleinanzeigen Hilfe"
"","defaultfooter.ClassifiedsHome","Kleinanzeigen Startseite"
"","defaultfooter.Click","Hier klicken"
"","defaultfooter.ClickHere","Hier klicken"
"","defaultfooter.Distance","Entfernung"
"","defaultfooter.Exact","Genau"
"","defaultfooter.FreeSite","100% kostenlose Kleinanzeigen"
"","defaultfooter.GoHome","Zur Homepage"
"","defaultfooter.Hello","Hallo,"
"","defaultfooter.Hello!","Hallo!"
"","defaultfooter.Help","Hilfe"
"","defaultfooter.HelpUs","Neu: <<BRAND>> unterstützt jetzt auch Videos! Jetzt hochladen!"
"","defaultfooter.Home","Homepage"
"","defaultfooter.IntellectualPropertyProtectionServices","Dienste zum Schutz geistigen Eigentums"
"","defaultfooter.ItemDetail","Artikelbeschreibung"
"","defaultfooter.ListingLanguage","Kleinanzeigen auf"
"","defaultfooter.Location","Ort:"
"","defaultfooter.miles","Meilen"
"","defaultfooter.MOBILE","MOBILE"
"","defaultfooter.My OLX","Mein OLX"
"","defaultfooter.MyAskHT.com","My askHT.com"
"","defaultfooter.Not_You?","Nicht Sie?"
"","defaultfooter.OLX","<<BRAND>>"
"","defaultfooter.OLX Official Time","Offizielle Uhrzeit von <<BRAND>>"
"","defaultfooter.Optional","Optional"
"","defaultfooter.Or","oder"
"","defaultfooter.PopularSearches","Häufige Suchbegriffe"
"","defaultfooter.Post","Kleinanzeige schalten"
"","defaultfooter.PublishFreeAd","Kostenlose Kleinanzeige schalten"
"","defaultfooter.Region","Region"
"","defaultfooter.Register","Registrieren"
"","defaultfooter.Register2","Registrieren"
"","defaultfooter.Search","Suche"
"","defaultfooter.SelectCityState","Wählen Sie eine Stadt oder ein Bundesland"
"","defaultfooter.SelectCountry","Wählen Sie ein Land"
"","defaultfooter.Selected_Region","Ausgewählte Region"
"","defaultfooter.Sign_In","Anmelden"
"","defaultfooter.Sign_In2","Anmelden"
"","defaultfooter.SiteLanguage","Kleinanzeigen auf:"
"","defaultfooter.sitesAssociate","Ähnliche Webseiten:"
"","defaultfooter.State","Bundesland"
"","defaultfooter.Terms of use","Nutzungsbedingungen"
"","defaultfooter.TheWeb","Das Web"
"","defaultfooter.VoteUrl","/index.php?a=1&newpost=1"
"","defaultfooter.Welcome","Willkommen"
"","defaultheader2.AllListings","Alle Anzeigen"
"","defaultheader2.Click","Klicken Sie hier;"
"","defaultheader2.FreeSite","<AREA> Freie Kleinanzeigen"
"","defaultheader2.Hello","Hallo, "
"","defaultheader2.Help","Hilfe"
"","defaultheader2.Home","Home"
"","defaultheader2.My OLX","Mein OLX"
"","defaultheader2.Not_You?","Nicht Ihr Benutzername;?"
"","defaultheader2.OLX","<<BRAND>>"
"","defaultheader2.Or","oder"
"","defaultheader2.Post","Veröffentlichen"
"","defaultheader2.PublishFreeAd","Einen Freien Artikel veröffentlichen"
"","defaultheader2.Register","Anmelden"
"","defaultheader2.Search","Suchen"
"","defaultheader2.TheWeb","Das Web"
"","defaultheader2.Welcome","Willkommen"
"","defaultheader.'PublishFreeAd'","Hello"
"","defaultheader.AdvancedSearch","Erweiterte Suche"
"","defaultheader.AllListings","Alle Kleinanzeigen"
"","defaultheader.Apr","Apr"
"","defaultheader.April","April"
"","defaultheader.Aug","Aug"
"","defaultheader.August","August"
"","defaultheader.BackToBrandHomePage","Zurück zur <<BRAND>>-Startseite"
"","defaultheader.BookAnOnlineAd","Book an online AD"
"","defaultheader.BrandChannel","<<BRAND>>-Kanal"
"","defaultheader.BrandFullVersion","<<BRAND>> Vollversion"
"","defaultheader.BrandNowSupportsVideosPostNow","Neu: <<BRAND>> unterstützt jetzt auch Videos! Jetzt hochladen!"
"","defaultheader.BrowseAds","Kleinanzeigen durchsuchen"
"","defaultheader.Categories","<<BRAND>>-Kategorien"
"","defaultheader.change","Wechseln"
"","defaultheader.Cities","Städte"
"","defaultheader.ClassifiedsAndMuchMore","Kleinanzeigen und vieles mehr!"
"","defaultheader.ClassifiedsHelp","Kleinanzeigen Hilfe"
"","defaultheader.ClassifiedsHome","Kleinanzeigen Startseite"
"","defaultheader.Click","Hier klicken"
"","defaultheader.ClickHere","Hier klicken"
"","defaultheader.CloseToYou","<<BRAND>> in Ihrer Nähe"
"","defaultheader.Dec","Dez"
"","defaultheader.December","Dezember"
"","defaultheader.Distance","Entfernung"
"","defaultheader.DragThisIconLogoBrandToYourWindowsTaskbarToPin","Zum Anheften ziehen Sie dieses Symbol <<LOGO_IMAGE>> auf Ihre Windows-Taskleiste."
"","defaultheader.Exact","Genau"
"","defaultheader.ExperienceBrandAsPinnedSite","Erleben Sie <<BRAND>> als Angeheftete Website!"
"","defaultheader.Features","<<BRAND>>-Funktionen"
"","defaultheader.Feb","Feb"
"","defaultheader.February","Februar"
"","defaultheader.FollowUsOnNetwork","Folgen Sie uns auf <<NETWORK>>"
"","defaultheader.FreeSite","<AREA> Kostenlose Kleinanzeigen"
"","defaultheader.Fri","Fr"
"","defaultheader.Friday","Freitag"
"","defaultheader.FriendName1AndFriendName2AreUsingBrand","<<friendName1>> und <<friendName2>> sind auf <<BRAND>>"
"","defaultheader.FriendName1FriendName2AndFriendsTotalMoreAreUsingBrand","<<friendName1>>, <<friendName2>> und <<friendsTotal>> weitere Freunde sind auf <<BRAND>>"
"","defaultheader.FriendName1IsUsingBrand","<<friendName1>> ist auf <<BRAND>>"
"","defaultheader.FriendsTotalUsingBrand","<<friendName1>>, <<friendName2>> und <<friendsTotal>> weitere Freunde sind auf <<BRAND>>"
"","defaultheader.Hello","Hallo"
"","defaultheader.Help","Hilfe"
"","defaultheader.HelpUs","Neu: <<BRAND>> unterstützt jetzt auch Videos! Jetzt hochladen!"
"","defaultheader.Home","Startseite"
"","defaultheader.ItemDetail","Artikelbeschreibung"
"","defaultheader.Jan","Jan"
"","defaultheader.January","Januar"
"","defaultheader.Jul","Jul"
"","defaultheader.July","Juli"
"","defaultheader.Jun","Jun"
"","defaultheader.June","Juni"
"","defaultheader.JustOneStep","Nur ein Schritt!"
"","defaultheader.ListingLanguage","Kleinanzeigen auf"
"","defaultheader.Location","Ort"
"","defaultheader.M","Min."
"","defaultheader.Mar","Mär"
"","defaultheader.March","März"
"","defaultheader.May","Mai"
"","defaultheader.miles","Meilen"
"","defaultheader.Minutes","Minuten"
"","defaultheader.MOBILE","MOBILE"
"","defaultheader.Modify","Bearbeiten"
"","defaultheader.Mon","Mo"
"","defaultheader.Monday","Montag"
"","defaultheader.My OLX","Mein OLX"
"","defaultheader.MyAdsOnBrand","Meine Anzeigen auf <<BRAND>>"
"","defaultheader.MyClassifieds","Meine Kleinanzeigen"
"","defaultheader.NeverAskAgain","Nie wieder fragen"
"","defaultheader.NewListings","Neue Anzeigen"
"","defaultheader.Not_You?","Nicht Sie"
"","defaultheader.Nov","Nov"
"","defaultheader.November","November"
"","defaultheader.Oct","Okt"
"","defaultheader.October","Oktober"
"","defaultheader.OLX","<<BRAND>>"
"","defaultheader.Optional","Optional"
"","defaultheader.Or","oder"
"","defaultheader.PlaceAdFree","Anzeige KOSTENLOS schalten"
"","defaultheader.PlaceAnAd","Anzeige schalten"
"","defaultheader.PlaceFreeAd","Kostenlose Anzeige schalten"
"","defaultheader.PopularSearches","Häufige Suchbegriffe"
"","defaultheader.Post","Kleinanzeige schalten"
"","defaultheader.PostAdFree","Anzeige KOSTENLOS aufgeben"
"","defaultheader.PostAFreeAd","Kostenlose Kleinanzeige schalten"
"","defaultheader.PostAFreeClassifiedAd","Jetzt kostenlose Kleinanzeige aufgeben"
"","defaultheader.PostAnAd","Anzeige aufgeben"
"","defaultheader.PostPicturesButton","Fotos einstellen"
"","defaultheader.PublishFreeAd","Jetzt Kleinanzeige aufgeben"
"","defaultheader.Region","Region"
"","defaultheader.Register","Registrieren"
"","defaultheader.Register2","Registrieren"
"","defaultheader.Sat","Sa"
"","defaultheader.Saturday","Samstag"
"","defaultheader.Search","Suchen"
"","defaultheader.Seconds","Sekunden"
"","defaultheader.SelectCityState","Stadt oder Bundesland wählen"
