"location","source","target"
"","biderrorbody.Description1","Por razones de seguridad, <<BRAND>> limita el número de ofertas que los usuarios puede realizar por día.<br />Si deseas realizar mas compras, comunícate con nuestro soporte "
"","biderrorbody.Hello","Hola"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","Equipo de Soporte"
"","biderrorbody.ThankYou","¡Muchas Gracias!"
"","biderrorheader.Click","haz click aquí"
"","biderrorheader.Hello","Hola, "
"","biderrorheader.Hello!","Hola!"
"","biderrorheader.Help","Ayuda"
"","biderrorheader.Home","Inicio"
"","biderrorheader.My OLX","Mi OLX"
"","biderrorheader.Not_You?","no eres tú"
"","biderrorheader.Or","o"
"","biderrorheader.Post","Publicar un anuncio"
"","biderrorheader.Register","Registro"
"","buyerinfo.Buyer","Comprador"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","Artículo"
"","buyerinfo.OLXHomePage","Volver a Mi OLX"
"","buyerinfo.PageTitle","Mi OLX >> <span class=""titOLX2"">Información del Comprador</span>"
"","buyerinfo.Price","Precio"
"","countryoptions.Accept","Aceptar"
"","countryoptions.AllCanton","Todos los Cantones"
"","countryoptions.AllCities","Todas las Ciudades"
"","countryoptions.AllCounties","Todos los Condados"
"","countryoptions.AllDepartaments","Todos los Departamentos"
"","countryoptions.AllDepartments","Todos los Departamentos"
"","countryoptions.AllEmirate","Todos los Emiratos"
"","countryoptions.AllLanguages","Todos los idiomas"
"","countryoptions.AllPrefectures","Todas las Prefecturas"
"","countryoptions.AllProvince","Todas las Provincias"
"","countryoptions.AllRegions","Todas las Regiones"
"","countryoptions.AllStates","Más"
"","countryoptions.BrandMobile","<<BRAND>> Móvil"
"","countryoptions.Canton","Cantón"
"","countryoptions.ChangeCity","Cambiar Ciudad"
"","countryoptions.ChangeCountry","Cambiar País"
"","countryoptions.ChooseCountry","Elige Condado"
"","countryoptions.ChooseEmirate","Elige un Emirato"
"","countryoptions.ChooseProvince","Elige Provincia/Region"
"","countryoptions.City","Ciudad:"
"","countryoptions.CityOrZip","Ciudad o Código Postal"
"","countryoptions.citySelect","Selecciona una ciudad:"
"","countryoptions.ClickHereIfCantFindCity","Cliquea aquí si no puedes encontrar tu ciudad"
"","countryoptions.ClickHereToEnterACity","Cliquea aquí para ingresar una Ciudad."
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Cliquea aquí para ingresar un Código Postal o una Ciudad"
"","countryoptions.ClickHereToSelectTheCityFromAList","Cliquea aquí para elegir la ciudad desde una lista"
"","countryoptions.Country","País:"
"","countryoptions.County","Condado"
"","countryoptions.departamentSelect","Departamentos más importantes de"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Distancia"
"","countryoptions.Emirate","Emirato"
"","countryoptions.emirateSelect","Emiratos más importantes de"
"","countryoptions.EnterCity","Introduce la ciudad"
"","countryoptions.EnterCityOrZipCode","Introduce la ciudad o Código Postal"
"","countryoptions.EntireCountry","Todo el País"
"","countryoptions.Exact","Exacto"
"","countryoptions.example","ejemplo"
"","countryoptions.FastAndEasyAccess","Acceso rápido y fácil"
"","countryoptions.Home_BrowseMoreRegions","Más"
"","countryoptions.Home_SelectCanton","Selecciona un cantón"
"","countryoptions.Home_SelectCity","Selecciona una ciudad"
"","countryoptions.Home_SelectDepartment","Selecciona un departamento"
"","countryoptions.Home_SelectEmirate","Selecciona un emirato"
"","countryoptions.Home_SelectProvince","Selecciona una provincia"
"","countryoptions.Home_SelectRegion","Selecciona una región"
"","countryoptions.Home_SelectState","Selecciona un estado"
"","countryoptions.ListingLanguage","Listados en"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Busca anuncios en tu región seleccionándola en el mapa"
"","countryoptions.Municipality","Comuna"
"","countryoptions.NoCities","Lo sentimos, no hay ciudades en esta sección"
"","countryoptions.NoCountries","Lo sentimos, no hay paises en esta sección"
"","countryoptions.Ok","Ok"
"","countryoptions.Or","O elige una ciudad"
"","countryoptions.OrSelectACity","O elige una ciudad"
"","countryoptions.OrSelectARegion","Elige una Región"
"","countryoptions.OtherCities","Otras Ciudades"
"","countryoptions.OtherCitiesInRegion","Otras Ciudades en <<REGION>>"
"","countryoptions.OtherProvinces","Otras Provincias"
"","countryoptions.OtherRegions","Otras Regiones"
"","countryoptions.OtherStates","Otros Estados"
"","countryoptions.PleaseChooseYourCity","Por favor elige tu ciudad"
"","countryoptions.PleaseChooseYourCounty","Por favor elige tu condado"
"","countryoptions.PleaseChooseYourPrefecture","Por favor elige tu prefectura"
"","countryoptions.PleaseEnterYourZipCode","Por favor introduce tu codigo postal"
"","countryoptions.PleaseSelectACity","Por favor elige una Ciudad."
"","countryoptions.PleaseSelectACountry","Por favor elige un Pais"
"","countryoptions.PostAdd","Publica tu anuncio gratis"
"","countryoptions.Prefecture","Prefectura"
"","countryoptions.ProvinceRegion","Provincia/Región"
"","countryoptions.provinceSelect","Selecciona una provincia: importantes de"
"","countryoptions.Region","Localización"
"","countryoptions.regionCantonSelect","Selecciona un Canton:"
"","countryoptions.regionSelect","Regiones más importantes de"
"","countryoptions.SelectACanton","Selecciona un cantón"
"","countryoptions.SelectACity","Selecciona una ciudad"
"","countryoptions.SelectACityInRegion","Selecciona una Ciudad en <<REGION>>"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Selecciona una delegación"
"","countryoptions.SelectADepartment","Selecciona un departamento"
"","countryoptions.SelectANeighborhood","Selecciona un barrio"
"","countryoptions.SelectAnEmirate","Selecciona un emirato"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","Selecciona una provincia"
"","countryoptions.SelectARegion","Selecciona una región"
"","countryoptions.SelectAState","Selecciona un estado"
"","countryoptions.SelectCanton","Elige Canton"
"","countryoptions.SelectCityState","Elige una ciudad/estado"
"","countryoptions.SelectCountry","Elige un país"
