"location","source","target"
"","biderrorbody.Description1","Pour des raisons de sécurité, <<BRAND>> limite le nombre d'annonces que les utilisateurs peuvent publier chaque jour. <br /> Si vous désirez faire plus d’achats, veuillez entrer en contact avec notre "
"","biderrorbody.Hello","Bonjour"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","Équipe de Support"
"","biderrorbody.ThankYou","Merci!"
"","biderrorheader.Click","Cliquez ici"
"","biderrorheader.Hello","Bonjour, "
"","biderrorheader.Hello!","Bonjour!"
"","biderrorheader.Help","Aide"
"","biderrorheader.Home","Accueil"
"","biderrorheader.My OLX","Mon OLX"
"","biderrorheader.Not_You?","ce n'est pas vous"
"","biderrorheader.Or","Ou"
"","biderrorheader.Post","Publier"
"","biderrorheader.Register","S'inscrire"
"","buyerinfo.Buyer","Acheteur"
"","buyerinfo.E-mail","Email"
"","buyerinfo.Item","Item"
"","buyerinfo.OLXHomePage","Retourner à mon OLX"
"","buyerinfo.PageTitle","Mon OLX >> <span class=""titOLX2"">Profil de l'Acheteur</span>"
"","buyerinfo.Price","Prix"
"","countryoptions.Accept","Accepter"
"","countryoptions.AllCanton","Tous les Cantons"
"","countryoptions.AllCities","Toutes les Villes"
"","countryoptions.AllCounties","Tous les comtés ou cantons"
"","countryoptions.AllDepartaments","Tous les Départements"
"","countryoptions.AllDepartments","Tous les Départements"
"","countryoptions.AllEmirate","Tous les Emirats"
"","countryoptions.AllLanguages","Toutes les Langues"
"","countryoptions.AllPrefectures","Toutes les Préfectures"
"","countryoptions.AllProvince","Toutes les Régions"
"","countryoptions.AllRegions","Tous"
"","countryoptions.AllStates","Plus"
"","countryoptions.BrandMobile","<<BRAND>> Mobile"
"","countryoptions.Canton","Canton"
"","countryoptions.ChangeCity","Changer la Ville"
"","countryoptions.ChangeCountry","Changer le Pays"
"","countryoptions.ChooseCountry","Choisissez le Comté"
"","countryoptions.ChooseEmirate","Choisissez l'Émirat"
"","countryoptions.ChooseProvince","Choisissez la Province"
"","countryoptions.City","Ville:"
"","countryoptions.CityOrZip","Ville ou Code Postal"
"","countryoptions.citySelect","Sélectionnez une Ville :"
"","countryoptions.ClickHereIfCantFindCity","Cliquez ici si vous ne trouvez pas votre ville"
"","countryoptions.ClickHereToEnterACity","Cliquez ici pour indiquer une Ville"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Cliquez ici pour indiquer le Code Postal ou la Ville"
"","countryoptions.ClickHereToSelectTheCityFromAList","Cliquez ici pour sélectionner la ville dans une liste"
"","countryoptions.Country","Pays:"
"","countryoptions.County","Comté"
"","countryoptions.departamentSelect","Départements plus importants de"
"","countryoptions.departmentSelect","Les principaux départements :"
"","countryoptions.Distance","Distance"
"","countryoptions.Emirate","Émirat"
"","countryoptions.emirateSelect","Plus important émirats de"
"","countryoptions.EnterCity","Indiquez une Ville"
"","countryoptions.EnterCityOrZipCode","Indiquez  une Ville ou un Code Postal"
"","countryoptions.EntireCountry","Tout le Pays"
"","countryoptions.Exact","Exact"
"","countryoptions.example","exemple"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Plus"
"","countryoptions.Home_SelectCanton","Sélectionnez un canton"
"","countryoptions.Home_SelectCity","Sélectionnez une ville"
"","countryoptions.Home_SelectDepartment","Sélectionnez un département"
"","countryoptions.Home_SelectEmirate","Sélectionnez un émirat"
"","countryoptions.Home_SelectProvince","Sélectionnez une province"
"","countryoptions.Home_SelectRegion","Sélectionnez une région"
"","countryoptions.Home_SelectState","Sélectionnez un état"
"","countryoptions.ListingLanguage","Annonces en"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Recherchez des annonces dans votre région en la sélectionnant sur la carte"
"","countryoptions.Municipality","Municipalité"
"","countryoptions.NoCities","Désolé, aucune ville n'est disponible dans cette catégorie."
"","countryoptions.NoCountries","Désolé, nous n'avons aucun pays dans cette section"
"","countryoptions.Ok","Ok"
"","countryoptions.Or","Ou sélectionnez une ville"
"","countryoptions.OrSelectACity","Ou sélectionnez une ville"
"","countryoptions.OrSelectARegion","Ou sélectionnez une région"
"","countryoptions.OtherCities","Autres Villes"
"","countryoptions.OtherCitiesInRegion","Autres Villes dans <<REGION>>"
"","countryoptions.OtherProvinces","Autres Provinces"
"","countryoptions.OtherRegions","Autres Régions"
"","countryoptions.OtherStates","Autres États"
"","countryoptions.PleaseChooseYourCity","Veuillez choisir votre ville"
"","countryoptions.PleaseChooseYourCounty","Veuillez choisir votre comté"
"","countryoptions.PleaseChooseYourPrefecture","Veuillez choisir votre préfecture"
"","countryoptions.PleaseEnterYourZipCode","Veuillez indiquer votre code postal"
"","countryoptions.PleaseSelectACity","Veuillez sélectionner une Ville."
"","countryoptions.PleaseSelectACountry","Veuillez sélectionner un pays"
"","countryoptions.PostAdd","Publier une Petite Annonce Gratuite"
"","countryoptions.Prefecture","Préfecture"
"","countryoptions.ProvinceRegion","Province/Région"
"","countryoptions.provinceSelect","Provinces:"
"","countryoptions.Region","Endroit:"
"","countryoptions.regionCantonSelect","Cantons:"
"","countryoptions.regionSelect","Régions:"
"","countryoptions.SelectACanton","Sélectionnez un canton"
"","countryoptions.SelectACity","Sélectionnez une ville"
"","countryoptions.SelectACityInRegion","Choisissez une Ville dans <<REGION>>"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","Sélectionnez un département"
"","countryoptions.SelectANeighborhood","Choisissez un lieu"
"","countryoptions.SelectAnEmirate","Sélectionnez un émirat"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","Sélectionnez une province"
"","countryoptions.SelectARegion","Sélectionnez une région"
"","countryoptions.SelectAState","Sélectionnez un état"
"","countryoptions.SelectCanton","Sélectionnez un Canton"
"","countryoptions.SelectCityState","Sélectionnez une Ville/État"
"","countryoptions.SelectCountry","Sélectionnez un Pays"
"","countryoptions.SelectCounty","Séectionnez un Comté"
"","countryoptions.SelectDepartament","Sélectionnez un Département"
"","countryoptions.SelectDepartment","Sélectionnez un Département"
"","countryoptions.SelectedRegion","Sélectionnez une Région"
"","countryoptions.SelectOnTheMap","Sélectionnez sur la carte"
"","countryoptions.SelectPrefecture","Sélectionnez une Préfecture"
"","countryoptions.SelectProvince","Sélectionnez une Province"
"","countryoptions.SelectRegion","Sélectionnez une Région"
"","countryoptions.SelectState","Sélectionnez un État"
"","countryoptions.SendBrandBySmsToTheNumber","Send <<BRAND>> by SMS to the number 21616"
"","countryoptions.Send_OLX_to_number_3000","Envoyez <<BLACKSTRONG>><<BRAND>><</BLACKSTRONG>> au numéro <<BLACKSTRONG>>3000<</BLACKSTRONG>>"
"","countryoptions.SiteLanguage","Langue du Site"
"","countryoptions.State","Sélectionnez une Région"
"","countryoptions.stateSelect","Sélectionnez un État:"
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","Le nom de la ville que vous avez choisi existe dans plusieurs régions. Merci de sélectionner la région où se trouver la ville:"
"","countryoptions.Town","Ville"
"","countryoptions.Wait","Attendez..."
