"location","source","target"
"","biderrorbody.Description1","Due to security reasons, <<BRAND>> will limit the number of daily bids allowed per user.<br />If you want to bid on more items please contact us at "
"","biderrorbody.Hello","હેલ્લો"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","આપનો આભાર!"
"","biderrorheader.Click","અહીં ક્લિક કરો"
"","biderrorheader.Hello","Hello, "
"","biderrorheader.Hello!","હેલ્લો!"
"","biderrorheader.Help","મદદ"
"","biderrorheader.Home","હોમ"
"","biderrorheader.My OLX","My OLX"
"","biderrorheader.Not_You?","not you"
"","biderrorheader.Or","અથવા"
"","biderrorheader.Post","પોસ્ટ કરો"
"","biderrorheader.Register","રજીસ્ટર થાઓ"
"","buyerinfo.Buyer","ખરીદદાર"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","વસ્તુ"
"","buyerinfo.OLXHomePage","Back to My OLX"
"","buyerinfo.PageTitle","My OLX >> <span class=""titOLX2"">Buyer Information</span>"
"","buyerinfo.Price","કિંમત"
"","countryoptions.Accept","સ્વીકારો"
"","countryoptions.AllCanton","બધા કેન્ટન"
"","countryoptions.AllCities","બધા શહેરો"
"","countryoptions.AllCounties","બધા પરગણાંઓ"
"","countryoptions.AllDepartaments","બધા વિભાગો"
"","countryoptions.AllDepartments","બધા વિભાગો"
"","countryoptions.AllEmirate","બધા એમિરેટ્સ"
"","countryoptions.AllLanguages","બધી ભાષાઓ"
"","countryoptions.AllPrefectures","બધા તાલુકાઓ"
"","countryoptions.AllProvince","બધા પ્રાંતો"
"","countryoptions.AllRegions","બધા વિસ્તારો"
"","countryoptions.AllStates","વધુ"
"","countryoptions.BrandMobile","<<BRAND>> મોબાઈલ"
"","countryoptions.Canton","કેન્ટન"
"","countryoptions.ChangeCity","શહેર બદલો"
"","countryoptions.ChangeCountry","દેશ બદલો"
"","countryoptions.ChooseCountry","દેશ પસંદ કરો"
"","countryoptions.ChooseEmirate","એમિરેટ પસંદ કરો"
"","countryoptions.ChooseProvince","પ્રાંત પસંદ કરો"
"","countryoptions.City","શહેર:"
"","countryoptions.CityOrZip","શહેર અથવા ઝિપ કોડ"
"","countryoptions.citySelect","શહેર પસંદ કરો:"
"","countryoptions.ClickHereIfCantFindCity","આપ આપનું શહેર શોધી ન શકો તો અહીં ક્લિક કરો"
"","countryoptions.ClickHereToEnterACity","શહેર દાખલ કરવા માટે અહીં ક્લિક કરો"
