"location","source","target"
"","biderrorbody.Description1","Zbog sigurnosnih razloga, <<BRAND>> će ograničiti broj ponuda koje korisnik dnevno može dati.<br />Ako želite dati ponudu za više stavki, molimo kontaktirajte nas na "
"","biderrorbody.Hello","Zdravo"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Hvala!"
"","biderrorheader.Click","kliknite ovdje"
"","biderrorheader.Hello","Zdravo, "
"","biderrorheader.Hello!","Zdravo!"
"","biderrorheader.Help","Pomoć"
"","biderrorheader.Home","Početna"
"","biderrorheader.My OLX","Moj OLX"
"","biderrorheader.Not_You?","ne vi"
"","biderrorheader.Or","ili"
"","biderrorheader.Post","Pošta"
"","biderrorheader.Register","Registriracija"
"","buyerinfo.Buyer","Kupac"
"","buyerinfo.E-mail","E-pošta"
"","buyerinfo.Item","Stavka"
"","buyerinfo.OLXHomePage","Natrag na Moj OLX"
"","buyerinfo.PageTitle","Moj OLX >> <span class=""titOLX2"">Informacije o kupcu</span>"
"","buyerinfo.Price","Cijena"
"","countryoptions.Accept","Prihvati"
"","countryoptions.AllCanton","Svi kantnoni"
"","countryoptions.AllCities","Svi gradovi"
"","countryoptions.AllCounties","All Counties"
"","countryoptions.AllDepartaments","Svi odjeli"
"","countryoptions.AllDepartments","Svi odjeli"
"","countryoptions.AllEmirate","Svi emirati"
"","countryoptions.AllLanguages","Svi jezici"
"","countryoptions.AllPrefectures","All Prefectures"
"","countryoptions.AllProvince","Sve pokrajine"
"","countryoptions.AllRegions","Sve županije"
"","countryoptions.AllStates","Više"
"","countryoptions.BrandMobile","<<BRAND>> s mobitela"
"","countryoptions.Canton","Kanton"
"","countryoptions.ChangeCity","Promjenite grad"
"","countryoptions.ChangeCountry","Promjeniti državu"
"","countryoptions.ChooseCountry","Odaberite županiju"
"","countryoptions.ChooseEmirate","Odaberite emirat"
"","countryoptions.ChooseProvince","Odaberite pokrajinu"
"","countryoptions.City","Grad:"
"","countryoptions.CityOrZip","Grad ili poštanski broj"
"","countryoptions.citySelect","Odaberite grad:"
"","countryoptions.ClickHereIfCantFindCity","Click here if you can't find your city"
"","countryoptions.ClickHereToEnterACity","Kliknite ovdje da biste unijeli grad"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Kliknite ovdje da biste unijeli poštanski broj ili grad"
"","countryoptions.ClickHereToSelectTheCityFromAList","Kliknite ovdje da biste izabrali grad sa popisa"
"","countryoptions.Country","Država:"
"","countryoptions.County","Županija"
"","countryoptions.departamentSelect","Najvažniji odjeli "
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Udaljenost"
"","countryoptions.Emirate","Emirat"
"","countryoptions.emirateSelect","Najvažniji emirati  "
"","countryoptions.EnterCity","Unesite grad"
"","countryoptions.EnterCityOrZipCode","Unesite grad ili poštanski broj"
"","countryoptions.EntireCountry","Cijela država"
"","countryoptions.Exact","Točno"
"","countryoptions.example","primjer"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Više"
"","countryoptions.Home_SelectCanton","Odaberite kanton"
"","countryoptions.Home_SelectCity","Odaberite grad"
"","countryoptions.Home_SelectDepartment","Odaberite odjel"
"","countryoptions.Home_SelectEmirate","Odaberite emirat"
"","countryoptions.Home_SelectProvince","Odaberite pokrajinu"
"","countryoptions.Home_SelectRegion","Odaberite županiju"
"","countryoptions.Home_SelectState","Odaberite državu"
"","countryoptions.ListingLanguage","Oglasi u"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Potražite oglase u vašj regiji pomoću odabira na mapi"
"","countryoptions.Municipality","Opština"
"","countryoptions.NoCities","Sorry, we don't have any cities in this section"
"","countryoptions.NoCountries","Žao nam je, nemamo niti jednu državu u ovom poglavlju"
"","countryoptions.Ok","U redu"
"","countryoptions.Or","Ili odaberite grad"
"","countryoptions.OrSelectACity","Ili odaberite grad"
"","countryoptions.OrSelectARegion","Ili odaberite regiju"
"","countryoptions.OtherCities","Ostali gradovi"
"","countryoptions.OtherCitiesInRegion","Drugi gradovi u <<REGION>>"
"","countryoptions.OtherProvinces","Ostale pokrajine"
"","countryoptions.OtherRegions","Ostale regije"
"","countryoptions.OtherStates","Ostale države"
"","countryoptions.PleaseChooseYourCity","Molimo, odaberite vaš grad"
"","countryoptions.PleaseChooseYourCounty","Molimo Vas izaberite Vašu državu"
"","countryoptions.PleaseChooseYourPrefecture","Molimo vas odaberite vašu prefekturu"
"","countryoptions.PleaseEnterYourZipCode","Molimo, unesite vaš poštanski broj"
"","countryoptions.PleaseSelectACity","Molimo, odaberite grad."
"","countryoptions.PleaseSelectACountry","Molimo, odaberite državu"
"","countryoptions.PostAdd","Objavi besplatni oglas"
"","countryoptions.Prefecture","Prefektura"
"","countryoptions.ProvinceRegion","Pokrajina/regija"
"","countryoptions.provinceSelect","Pokrajine:"
"","countryoptions.Region","Lokacija"
"","countryoptions.regionCantonSelect","Kantoni:"
"","countryoptions.regionSelect","Županije:"
"","countryoptions.SelectACanton","Odaberite kanton"
"","countryoptions.SelectACity","Odaberite grad"
"","countryoptions.SelectACityInRegion","Odaberite grad u <<REGION>>"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","Odaberite odjel"
"","countryoptions.SelectANeighborhood","Odaberite susjedstvo"
"","countryoptions.SelectAnEmirate","Odaberite emirat"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","Odaberite pokrajinu"
"","countryoptions.SelectARegion","Odaberite županiju"
"","countryoptions.SelectAState","Odaberite državu"
"","countryoptions.SelectCanton","Odaberite kanton"
"","countryoptions.SelectCityState","Odaberite grad/državu"
"","countryoptions.SelectCountry","Odaberite državu"
"","countryoptions.SelectCounty","Odaberite državu"
"","countryoptions.SelectDepartament","Odaberite odjel"
"","countryoptions.SelectDepartment","Odaberite odjel"
"","countryoptions.SelectedRegion","Odabrana regija"
"","countryoptions.SelectOnTheMap","Odaberite na mapi"
"","countryoptions.SelectPrefecture","Odaberite prefekturu"
