"location","source","target"
"","biderrorbody.Description1","Pour des raisons de sécurité, <<BRAND>> limite le nombre d'annonces que les utilisateurs peuvent publier chaque jour. <br /> Si vous désirez faire plus d’achats, veuillez entrer en contact avec notre "
"","biderrorbody.Hello","Bonjou "
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","Équipe de Support"
"","biderrorbody.ThankYou","Mèsi!"
"","biderrorheader.Click","klike isi"
"","biderrorheader.Hello","Bonjou,"
"","biderrorheader.Hello!","Bonjou!"
"","biderrorheader.Help","Ed"
"","biderrorheader.Home","Akèy"
"","biderrorheader.My OLX","OLX Mwen"
"","biderrorheader.Not_You?","se pa ou"
"","biderrorheader.Or","ou"
"","biderrorheader.Post","Pibliye yon Anons"
"","biderrorheader.Register","Enskri"
"","buyerinfo.Buyer","Moun kap achte an"
"","buyerinfo.E-mail","Imèl"
"","buyerinfo.Item","Pwodwi"
"","buyerinfo.OLXHomePage","Retounen sou  OLX mwen"
"","buyerinfo.PageTitle","Mon OLX >> <span class=""titOLX2"">Enfòmasyon sou Moun Kap Achte an</span>"
"","buyerinfo.Price","Pri"
"","countryoptions.Accept","Aksepte "
"","countryoptions.AllCanton","Tout kanton yo"
"","countryoptions.AllCities","Tout vil yo"
"","countryoptions.AllCounties","Tout Rejyon"
"","countryoptions.AllDepartaments","Tout depatman yo"
"","countryoptions.AllDepartments","Tout depatman yo"
"","countryoptions.AllEmirate","Tout Emira yo"
"","countryoptions.AllLanguages","Tout Lang yo"
"","countryoptions.AllPrefectures","Tout Prefekti"
"","countryoptions.AllProvince","Tout Pwovens Yo "
"","countryoptions.AllRegions","Tout rejyon Yo "
"","countryoptions.AllStates","Plis Toujou "
"","countryoptions.BrandMobile","<<BRAND>> Mobil"
"","countryoptions.Canton","Kanton"
"","countryoptions.ChangeCity","Chanje Vil"
"","countryoptions.ChangeCountry","Chanje Peyi"
"","countryoptions.ChooseCountry","Chwazi Rejyon an"
"","countryoptions.ChooseEmirate","Chwazi  Emira an"
"","countryoptions.ChooseProvince","Chwazi Pwovens lan"
"","countryoptions.City","Vil :"
"","countryoptions.CityOrZip","Vil ou Kod Postal "
"","countryoptions.citySelect","Chwazi yon Vil "
"","countryoptions.ClickHereIfCantFindCity","Klike la si ou pa ka jwenn vil ou"
"","countryoptions.ClickHereToEnterACity","Klike la pou mete yon vil"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Klike la pou mete yon Kod Postal oubyen yon Vil"
"","countryoptions.ClickHereToSelectTheCityFromAList","Klike la pou chwazi yon vil nan yon lis"
"","countryoptions.Country","Peyi:"
"","countryoptions.County","Rejyon"
"","countryoptions.departamentSelect","Depatman pi enpotan nan "
"","countryoptions.departmentSelect","Les principaux départements :"
"","countryoptions.Distance","Distans"
"","countryoptions.Emirate","Emira"
"","countryoptions.emirateSelect","Emira pi enpotan yo :"
"","countryoptions.EnterCity","Mete yon vil"
"","countryoptions.EnterCityOrZipCode","Mete yon vil ou kod postal "
"","countryoptions.EntireCountry","Tout Peyi a"
"","countryoptions.Exact","Egzakt"
"","countryoptions.example","Egzanp"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Plis toujou"
"","countryoptions.Home_SelectCanton","Chwazi yon kanton "
"","countryoptions.Home_SelectCity","Chwazi yon vil "
"","countryoptions.Home_SelectDepartment","Chwazi yon depatman"
"","countryoptions.Home_SelectEmirate","Chwazi yon emira"
"","countryoptions.Home_SelectProvince","Chwazi yon pwovens"
"","countryoptions.Home_SelectRegion","Chwazi yon rejyon"
"","countryoptions.Home_SelectState","Chwazi yon eta "
"","countryoptions.ListingLanguage","Anons an"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Chwazi sou kat la pou chèche anons nan rejyon ou a"
"","countryoptions.Municipality","Minisipalite"
"","countryoptions.NoCities","Désolé, aucune ville n'est disponible dans cette catégorie."
"","countryoptions.NoCountries","Nou regrèt, nou pa genyen okenn peyi nan kategori sa. "
"","countryoptions.Ok","Ok"
"","countryoptions.Or","Ou chwazi on vil "
"","countryoptions.OrSelectACity","Ou chwazi on vil "
"","countryoptions.OrSelectARegion","Ou chwazi yon rejyon"
"","countryoptions.OtherCities","Lòt Vil"
"","countryoptions.OtherCitiesInRegion","Lòt vil nan<<REGION>>"
"","countryoptions.OtherProvinces","Lòt Pwovens"
"","countryoptions.OtherRegions","Lòt Rejyon"
"","countryoptions.OtherStates","Lòt Eta"
"","countryoptions.PleaseChooseYourCity","Tanpri chwazi yon vil"
"","countryoptions.PleaseChooseYourCounty","Tanpri chwazi rejjyon ou"
"","countryoptions.PleaseChooseYourPrefecture","Tanpri chwazi prefekti ou"
"","countryoptions.PleaseEnterYourZipCode","Tanpri mete kod postal ou"
"","countryoptions.PleaseSelectACity","Tanpri chwazi yon vil "
"","countryoptions.PleaseSelectACountry","Tanpri chwazi yon peyi"
"","countryoptions.PostAdd","Pibliye yon anons gratis"
"","countryoptions.Prefecture","Prefekti"
"","countryoptions.ProvinceRegion","Pwovens/Rejyon"
"","countryoptions.provinceSelect","Pwovens :"
"","countryoptions.Region","Kote"
"","countryoptions.regionCantonSelect","Kanton:"
"","countryoptions.regionSelect","Rejyon :"
"","countryoptions.SelectACanton","Chwazi yon kanton "
"","countryoptions.SelectACity","Chwazi yon vil "
"","countryoptions.SelectACityInRegion","Chwazi yon vil nan<<REGION>>"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","Chwazi yon depatman"
"","countryoptions.SelectANeighborhood","Chwazi yon katye"
"","countryoptions.SelectAnEmirate","Chwazi yon emira"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","Chwazi yon pwovens"
"","countryoptions.SelectARegion","Chwazi yon rejyon"
"","countryoptions.SelectAState","Chwazi yon eta "
"","countryoptions.SelectCanton","Chwazi yon Kanton"
"","countryoptions.SelectCityState","Chwazi Vil / Eta"
"","countryoptions.SelectCountry","Chwazi Peyi"
"","countryoptions.SelectCounty","Chwazi Rejyon"
"","countryoptions.SelectDepartament","Chwazi deptaman"
"","countryoptions.SelectDepartment","Chwazi deptaman"
"","countryoptions.SelectedRegion","Rejyon ou Chwazi"
"","countryoptions.SelectOnTheMap","Chwazi sou kat la"
"","countryoptions.SelectPrefecture","Chwazi Prefekti"
"","countryoptions.SelectProvince","Chwazi Pwovens"
"","countryoptions.SelectRegion","Depatman"
"","countryoptions.SelectState","Eta"
"","countryoptions.SendBrandBySmsToTheNumber","Send <<BRAND>> by SMS to the number 21616"
"","countryoptions.Send_OLX_to_number_3000","Voye<<BLACKSTRONG>><<BRAND>><</BLACKSTRONG>> a nimewo<<BLACKSTRONG>>3000<</BLACKSTRONG>>"
"","countryoptions.SiteLanguage","Lang Sit Lan"
"","countryoptions.State","Depatman"
"","countryoptions.stateSelect","Chwazi yon eta:"
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","Non vil ou chwazi an egziste nan plizyè rejyon. Tanpri chwazi rejyon kote vil ou an ye: "
"","countryoptions.Town","Vil"
"","countryoptions.Wait","Fon ti tann..."
"","countryoptions.ZipCodeOrCity","Kod Postal oubyen vil"
"","defaultfooter.About OLX","Konsènan <<BRAND>>"
"","defaultfooter.ADS_REGION","Anons an <<REGION>>"
"","defaultfooter.AdvancedSearch","Rechèch Avanse"
"","defaultfooter.AllListings","Tout Anons yo"
"","defaultfooter.AllStates","Chèche pa Vil"
"","defaultfooter.Back","Retounen"
"","defaultfooter.BrandFreeClassifieds","Annonces 100% gratuites"
"","defaultfooter.BrowseAds","Gade Anons yo"
"","defaultfooter.change","Chanje"
"","defaultfooter.classifiedGratuitous","Anons Gratis"
"","defaultfooter.ClassifiedsAndMuchMore","Anons ak plis lòt bagay ankò !"
"","defaultfooter.ClassifiedsHelp","Ed nan Anons yo"
"","defaultfooter.ClassifiedsHome","Akèy Anons"
"","defaultfooter.Click","klike isi"
"","defaultfooter.ClickHere","Klike isi"
"","defaultfooter.Distance","Distans"
"","defaultfooter.Exact","Egzakt"
"","defaultfooter.FreeSite","Annonces 100% gratuites"
"","defaultfooter.GoHome","Ale nan Akèy"
"","defaultfooter.Hello","Bonjou,"
"","defaultfooter.Hello!","Bonjou!"
"","defaultfooter.Help","Ed"
"","defaultfooter.HelpUs","Tou Nèf: <<BRAND>> aksepte videyo! Plibliye yon anons tou swit!"
"","defaultfooter.Home","Akèy"
"","defaultfooter.IntellectualPropertyProtectionServices","Sèvis Pwoteksyon entelektyèl Propryete"
"","defaultfooter.ItemDetail","Detay pwodwi an"
"","defaultfooter.ListingLanguage","Anons an"
"","defaultfooter.Location","Kote:"
"","defaultfooter.miles","Kilomèt"
"","defaultfooter.MOBILE","MOBIL"
"","defaultfooter.My OLX","OLX Mwen"
"","defaultfooter.MyAskHT.com","My askHT.com"
"","defaultfooter.Not_You?","se pa ou"
"","defaultfooter.OLX","<<BRAND>>"
"","defaultfooter.OLX Official Time","Lè Ofisyèl <<BRAND>>"
"","defaultfooter.Optional","Si ou vle"
"","defaultfooter.Or","ou"
"","defaultfooter.PopularSearches","Rechèch ki pi popile"
"","defaultfooter.Post","Pibliye yon Anons"
"","defaultfooter.PublishFreeAd","Pibliye yon anons Gratis"
"","defaultfooter.Region","Rejyon"
"","defaultfooter.Register","Enskri"
"","defaultfooter.Register2","Enskri"
"","defaultfooter.Search","Chèche"
"","defaultfooter.SelectCityState","Chwazi Vil / Eta"
"","defaultfooter.SelectCountry","Chwazi Peyi"
"","defaultfooter.Selected_Region","Rejyon ou Chwazi"
"","defaultfooter.Sign_In","Konekte"
"","defaultfooter.Sign_In2","Konekte"
"","defaultfooter.SiteLanguage","Anons an:"
"","defaultfooter.sitesAssociate","Lòt sit ki gen rapò :"
"","defaultfooter.State","Eta"
"","defaultfooter.Terms of use","Regleman pou Itilize"
"","defaultfooter.TheWeb","Web la"
"","defaultfooter.VoteUrl","/index.php?a=1&newpost=1"
"","defaultfooter.Welcome","Byenveni!"
"","defaultheader2.AllListings","Tout Anons yo"
"","defaultheader2.Click","Klike isi"
"","defaultheader2.FreeSite","Anons gratis <AREA>"
"","defaultheader2.Hello","Bonjou,"
"","defaultheader2.Help","Ed"
"","defaultheader2.Home","Akèy"
"","defaultheader2.My OLX","OLX Mwen"
"","defaultheader2.Not_You?","se pa ou"
"","defaultheader2.OLX","<<BRAND>>"
"","defaultheader2.Or","ou"
"","defaultheader2.Post","Pibliye yon Anons"
"","defaultheader2.PublishFreeAd","Pibliye yon anons gratis"
"","defaultheader2.Register","Enskri"
"","defaultheader2.Search","Chèche"
"","defaultheader2.TheWeb","Web la"
"","defaultheader2.Welcome","Byenveni!"
"","defaultheader.'PublishFreeAd'","Bonjou "
"","defaultheader.AdvancedSearch","Rechèch Avanse"
"","defaultheader.AllListings","Tout Anons ou"
"","defaultheader.Apr","Avr"
"","defaultheader.April","Avril"
"","defaultheader.Aug","Out"
"","defaultheader.August","Out"
"","defaultheader.BackToBrandHomePage","Tounen sou paj Akèy <<BRAND>>"
"","defaultheader.BookAnOnlineAd","Book an online AD"
"","defaultheader.BrandChannel","<<BRAND>> Chènn"
"","defaultheader.BrandFullVersion","<<BRAND>> Vèsyon Konplè"
"","defaultheader.BrandNowSupportsVideosPostNow","Tou Nèf: <<BRAND>> aksepte videyo! Plibliye yon anons tou swit!"
"","defaultheader.BrowseAds","Gade Anons yo"
"","defaultheader.Categories","<<BRAND>> Kategori"
"","defaultheader.change","Chanje"
"","defaultheader.Cities","Vil"
"","defaultheader.ClassifiedsAndMuchMore","Anons ak plis lòt bagay ankò !"
"","defaultheader.ClassifiedsHelp","Ed nan Anons yo"
"","defaultheader.ClassifiedsHome","Akèy Anons"
"","defaultheader.Click","clike isi"
"","defaultheader.ClickHere","Klike isi"
"","defaultheader.CloseToYou","<<BRAND>> Pwoch ou"
"","defaultheader.Dec","Des"
"","defaultheader.December","Desanm"
"","defaultheader.Distance","Distans"
"","defaultheader.DragThisIconLogoBrandToYourWindowsTaskbarToPin","Rale ti foto sa <<LOGO_IMAGE>> mete li nan Windows Taskbar ou."
"","defaultheader.Exact","Egzak"
"","defaultheader.ExperienceBrandAsPinnedSite","Eksperyans <<BRAND>>  kòm Pinned Site"
"","defaultheader.Features","<<BRAND>> Detay"
"","defaultheader.Feb","Fevr"
"","defaultheader.February","Fevriye"
"","defaultheader.FollowUsOnNetwork","Swiv nou sou <<NETWORK>>"
"","defaultheader.FreeSite","Anons gratis <AREA>"
"","defaultheader.Fri","Van"
"","defaultheader.Friday","Vandredi"
"","defaultheader.FriendName1AndFriendName2AreUsingBrand","<<friendName1>> ak<<friendName2>> ap itilize <<BRAND>>"
"","defaultheader.FriendName1FriendName2AndFriendsTotalMoreAreUsingBrand","<<friendName1>>, <<friendName2>> ak<<friendsTotal>> plis zanmi ap itilize<<BRAND>>"
"","defaultheader.FriendName1IsUsingBrand","<<friendName1>> ap itilize <<BRAND>>"
"","defaultheader.FriendsTotalUsingBrand","<<friendName1>>, <<friendName2>> ak<<friendsTotal>> plis zanmi ap itilize <<BRAND>>"
"","defaultheader.Hello","Bonjou,"
"","defaultheader.Help","Ed"
"","defaultheader.HelpUs","Tou Nèf: <<BRAND>> aksepte videyo! Plibliye yon anons tou swit!"
"","defaultheader.Home","Akèy"
"","defaultheader.ItemDetail","Detay anons lan"
"","defaultheader.Jan","Janv"
"","defaultheader.January","Janvye"
"","defaultheader.Jul","Jiyè"
"","defaultheader.July","Jiye"
"","defaultheader.Jun","Jyen"
"","defaultheader.June","Jyen"
"","defaultheader.JustOneStep","1 sèl etap!"
"","defaultheader.ListingLanguage","Anons nan"
"","defaultheader.Location","Kote"
"","defaultheader.M","m "
"","defaultheader.Mar","Mas"
"","defaultheader.March","Mas"
"","defaultheader.May","Me"
"","defaultheader.miles","Kilomèt"
"","defaultheader.Minutes","minit"
"","defaultheader.MOBILE","OLX MOBIL"
"","defaultheader.Modify","Chanje"
"","defaultheader.Mon","Len"
"","defaultheader.Monday","Lendi"
"","defaultheader.My OLX","OLX Mwen"
"","defaultheader.MyAdsOnBrand","Anons mwen sou  <<BRAND>>"
"","defaultheader.MyClassifieds","Piblikasyon mwen"
"","defaultheader.NeverAskAgain","Pa janm mande ankò"
"","defaultheader.NewListings","Nouvo Anons"
"","defaultheader.Not_You?","Se pa ou? "
"","defaultheader.Nov","Nov"
"","defaultheader.November","Novanm"
"","defaultheader.Oct","Okt"
"","defaultheader.October","Oktòb"
"","defaultheader.OLX","<<BRAND>>"
"","defaultheader.Optional","Si ou vle"
"","defaultheader.Or","ou"
"","defaultheader.PlaceAdFree","Mete yon ti anons gratis"
"","defaultheader.PlaceAnAd","Mete yon ti anons"
"","defaultheader.PlaceFreeAd","Mete yon ti anons ki gratis"
"","defaultheader.PopularSearches","Rechèch ki pi popile"
"","defaultheader.Post","Pibliye yon Anons"
"","defaultheader.PostAdFree","Poste yon ti anons gratis"
"","defaultheader.PostAFreeAd","Pibliye yon anons Gratis"
"","defaultheader.PostAFreeClassifiedAd","Pibliye yon Anons Gratis"
"","defaultheader.PostAnAd","Poste yon ti anons"
"","defaultheader.PostPicturesButton","Mete fotos"
"","defaultheader.PublishFreeAd","Pibliye yon Anons Gratis"
"","defaultheader.Region","Rejyon"
"","defaultheader.Register","Enskri"
"","defaultheader.Register2","Enskri"
"","defaultheader.Sat","Sam"
"","defaultheader.Saturday","Samdi"
"","defaultheader.Search","Chèche"
"","defaultheader.Seconds","segond"
"","defaultheader.SelectCityState","Chwazi Vil / Eta"
"","defaultheader.SelectCountry","Chwazi Peyi"
"","defaultheader.Selected_Region","Kote"
"","defaultheader.Sep","Sèpt"
"","defaultheader.September","Sèptanm"
"","defaultheader.SiteLanguage","Anons an:"
"","defaultheader.State","Eta"
"","defaultheader.StayConnected","Rete an Kontak"
"","defaultheader.Sun","Dim"
"","defaultheader.Sunday","Dimanch"
"","defaultheader.TellUsYourOpinionAnswerTheSurvey","Di nou opinyon ou, bay reponn ou sou sondaj la!"
"","defaultheader.TheWeb","Web la"
"","defaultheader.Thu","Jed"
"","defaultheader.Thursday","Jedi"
"","defaultheader.Tue","Mad"
"","defaultheader.Tuesday","Madi"
"","defaultheader.UsefulInformation","Enfomasyon Itil"
"","defaultheader.UserNameHasPublishedThis","<<USERNAME>> te pibliye sa"
"","defaultheader.VoteUrl","/index.php?a=1&newpost=1"
"","defaultheader.Wed","Mèk"
"","defaultheader.Wednesday","Mèkredi"
"","defaultheader.Welcome","Byenveni!"
"","defaultheader.WhatAreYouLookingFor","Kisa Wap Chache"
"","defaultheader.WhatWouldYouLikeToDoNext","Kisa ou te renmen fè konyea?"
