"location","source","target"
"","biderrorbody.Description1","Az <<BRAND>> biztonsági okokból korlátozza az egy felhasználó által megengedett napi licitek számát.<br />Ha több tételre is kíván licitálni, lépjen velünk kapcsolatba a következő címen:"
"","biderrorbody.Hello","Üdvözöljük"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Köszönjük!"
"","biderrorheader.Click","kattintson ide"
"","biderrorheader.Hello","Üdvözöljük, "
"","biderrorheader.Hello!","Üdvözöljük!"
"","biderrorheader.Help","Súgó"
"","biderrorheader.Home","Kezdőlap"
"","biderrorheader.My OLX","Saját OLX"
"","biderrorheader.Not_You?","nem Ön"
"","biderrorheader.Or","vagy"
"","biderrorheader.Post","Küldés"
"","biderrorheader.Register","Regisztráció"
"","buyerinfo.Buyer","Vevő"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","Tétel"
"","buyerinfo.OLXHomePage","Vissza a Saját OLX oldalra"
"","buyerinfo.PageTitle","Saját OLX >> <span class=""titOLX2"">Vevő információi</span>"
"","buyerinfo.Price","Vételár"
"","countryoptions.Accept","Elfogadás"
"","countryoptions.AllCanton","Minden kanton"
"","countryoptions.AllCities","Minden település"
"","countryoptions.AllCounties","Minden járás"
"","countryoptions.AllDepartaments","Minden megye"
"","countryoptions.AllDepartments","All Departments"
"","countryoptions.AllEmirate","Minden emirátus"
"","countryoptions.AllLanguages","Minden nyelv"
"","countryoptions.AllPrefectures","Minden megye"
"","countryoptions.AllProvince","Minden tartomány"
"","countryoptions.AllRegions","Minden régió"
"","countryoptions.AllStates","Több"
"","countryoptions.BrandMobile","<<BRAND>> Mobile"
"","countryoptions.Canton","Kanton"
"","countryoptions.ChangeCity","Város megváltoztatása"
"","countryoptions.ChangeCountry","Ország megváltoztatása"
"","countryoptions.ChooseCountry","Válasszon megyét"
"","countryoptions.ChooseEmirate","Válasszon emirátust"
"","countryoptions.ChooseProvince","Válasszon tartományt"
"","countryoptions.City","Település:"
"","countryoptions.CityOrZip","Település vagy irányítószám"
"","countryoptions.citySelect","Válasszon települést:"
"","countryoptions.ClickHereIfCantFindCity","Kattintson ide, ha nem találja a városát"
"","countryoptions.ClickHereToEnterACity","Kattintson ide a település kiválasztásához"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Adjon meg egy irányítószámot vagy települést"
"","countryoptions.ClickHereToSelectTheCityFromAList","Kattintson ide a település listából történő kiválasztásához"
"","countryoptions.Country","Ország:"
"","countryoptions.County","Megye"
"","countryoptions.departamentSelect","A legfontosabb megyék"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Távolság"
"","countryoptions.Emirate","Emirátus"
"","countryoptions.emirateSelect","A legfontosabb emirátusok"
"","countryoptions.EnterCity","Adjon meg egy települést"
"","countryoptions.EnterCityOrZipCode","Adjon meg egy települést vagy irányítószámot"
"","countryoptions.EntireCountry","Egész ország"
"","countryoptions.Exact","Pontosan"
"","countryoptions.example","példa"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Több"
"","countryoptions.Home_SelectCanton","Válasszon kantont"
"","countryoptions.Home_SelectCity","Válasszon települést"
"","countryoptions.Home_SelectDepartment","Válasszon megyét"
"","countryoptions.Home_SelectEmirate","Válasszon emirátust"
"","countryoptions.Home_SelectProvince","Válasszon tartományt"
"","countryoptions.Home_SelectRegion","Válasszon régiót"
"","countryoptions.Home_SelectState","Válasszon államot"
"","countryoptions.ListingLanguage","Hirdetés nyelve"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Keresse ki a hirdetéseket a régiójában a térkép segítségével"
"","countryoptions.Municipality","Önkormányzat"
"","countryoptions.NoCities","Sajnáljuk, ebben a régióban nincs településünk"
"","countryoptions.NoCountries","Sajnáljuk, ebben a részben nincs országunk"
"","countryoptions.Ok","OK"
"","countryoptions.Or","vagy válasszon települést"
"","countryoptions.OrSelectACity","vagy válasszon települést"
"","countryoptions.OrSelectARegion","Vagy válasszon régiót"
"","countryoptions.OtherCities","További települések"
"","countryoptions.OtherCitiesInRegion","Más városok <<REGION>> régióban"
"","countryoptions.OtherProvinces","További tartományok"
"","countryoptions.OtherRegions","További régiók"
"","countryoptions.OtherStates","További államok"
"","countryoptions.PleaseChooseYourCity","Válassza ki a települését"
"","countryoptions.PleaseChooseYourCounty","Válassza ki a járást"
"","countryoptions.PleaseChooseYourPrefecture","Válassza ki a megyét"
"","countryoptions.PleaseEnterYourZipCode","Adja meg az irányítószámát"
"","countryoptions.PleaseSelectACity","Válasszon települést."
"","countryoptions.PleaseSelectACountry","Válasszon országot"
"","countryoptions.PostAdd","Adjon fel ingyenes apróhirdetést"
"","countryoptions.Prefecture","Megye"
"","countryoptions.ProvinceRegion","Tartomány/régió"
"","countryoptions.provinceSelect","Tartományok:"
"","countryoptions.Region","Hely"
"","countryoptions.regionCantonSelect","Kantonok:"
"","countryoptions.regionSelect","Régiók:"
"","countryoptions.SelectACanton","Válasszon kantont"
"","countryoptions.SelectACity","Válasszon települést"
"","countryoptions.SelectACityInRegion","Válasszon egy várost <<REGION>> régióban"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","Válasszon megyét"
