"location","source","target"
"","biderrorbody.Description1","Per motivi di sicurezza, <<BRAND>> limita il numero di offerte consentite giornalmente da un utente.<br /> Se si desidera fare delle offerte per più articoli contattare l'assistenza"
"","biderrorbody.Hello","Ciao"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","Assistenza Tecnica"
"","biderrorbody.ThankYou","Grazie!"
"","biderrorheader.Click","cliccare qui"
"","biderrorheader.Hello","Ciao,"
"","biderrorheader.Hello!","Ciao!"
"","biderrorheader.Help","Aiuto"
"","biderrorheader.Home","Home Page"
"","biderrorheader.My OLX","Mio OLX"
"","biderrorheader.Not_You?","non sei tu?"
"","biderrorheader.Or","o"
"","biderrorheader.Post","Annuncio"
"","biderrorheader.Register","Registrati"
"","buyerinfo.Buyer","Acquirente"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","Articolo"
"","buyerinfo.OLXHomePage","Tornare a Mio OLX"
"","buyerinfo.PageTitle","Il mio OLX >> <span class=""titOLX2"">Informazioni sull'acquirente</span>"
"","buyerinfo.Price","Prezzo"
"","countryoptions.Accept","Accettare"
"","countryoptions.AllCanton","Tutti i Cantoni"
"","countryoptions.AllCities","Tutte le citta'"
"","countryoptions.AllCounties","Tutte le Contee"
"","countryoptions.AllDepartaments","Tutti i dipartimenti"
"","countryoptions.AllDepartments","Tutti i dipartimenti"
"","countryoptions.AllEmirate","Tutti gli Emirati"
"","countryoptions.AllLanguages","Tutte le lingue"
"","countryoptions.AllPrefectures","Tutte le Prefetture"
"","countryoptions.AllProvince","Tutte le Province"
"","countryoptions.AllRegions","Tutte le regioni"
"","countryoptions.AllStates","Più"
"","countryoptions.BrandMobile","<<BRAND>> Mobile"
"","countryoptions.Canton","Canton"
"","countryoptions.ChangeCity","Cambia Cittá"
"","countryoptions.ChangeCountry","Cambia Nazione"
"","countryoptions.ChooseCountry","Scegli Contea"
"","countryoptions.ChooseEmirate","Scegliere Emirato"
"","countryoptions.ChooseProvince","Scegliere Provincia"
"","countryoptions.City","Città:"
"","countryoptions.CityOrZip","Città o Codice di Avviamento Postale"
"","countryoptions.citySelect","Seleziona una città:"
"","countryoptions.ClickHereIfCantFindCity","Clicca qui se non puoi trovare la tua cittá"
"","countryoptions.ClickHereToEnterACity","Clicca qui per inserire una Cittá"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Clicca qui per inserire il Codice Postale o la Cittá"
"","countryoptions.ClickHereToSelectTheCityFromAList","Clicca qui per selezionare una cittá presente nella lista"
"","countryoptions.Country","Paese:"
"","countryoptions.County","Contea"
"","countryoptions.departamentSelect","I dipartimenti piu' importanti di"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Distanza"
"","countryoptions.Emirate","Emirati"
"","countryoptions.emirateSelect","Emirati piu' importanti di "
