"location","source","target"
"","biderrorbody.Description1","保障理由により、<<BRAND>>はユーザーにつき許可されている毎日の入札数を制限します。.<br />さらに多くの入札をご希望の場合は、以下の当社まで連絡してください。"
"","biderrorbody.Hello","こんにちは"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","ありがとうございます!"
"","biderrorheader.Click","こちらをクリックして下さい"
"","biderrorheader.Hello","こんにちは、"
"","biderrorheader.Hello!","こんにちは!"
"","biderrorheader.Help","ヘルプ"
"","biderrorheader.Home","ホーム"
"","biderrorheader.My OLX","マイ OLX"
"","biderrorheader.Not_You?","お客様ではありませんか?"
"","biderrorheader.Or","または"
"","biderrorheader.Post","掲載する"
"","biderrorheader.Register","登録する"
"","buyerinfo.Buyer","購入者"
"","buyerinfo.E-mail","メール"
"","buyerinfo.Item","アイテム"
"","buyerinfo.OLXHomePage","マイ OLX に戻る"
"","buyerinfo.PageTitle","マイ OLX >> <span class=""titOLX2"">購入者情報</span>"
"","buyerinfo.Price","価格"
"","countryoptions.Accept","承諾する"
"","countryoptions.AllCanton","全州"
"","countryoptions.AllCities","すべての市/都市"
"","countryoptions.AllCounties","すべての国"
"","countryoptions.AllDepartaments","全分野"
"","countryoptions.AllDepartments","全分野"
"","countryoptions.AllEmirate","全首長国"
"","countryoptions.AllLanguages","全言語"
"","countryoptions.AllPrefectures","すべての県"
"","countryoptions.AllProvince","全州"
"","countryoptions.AllRegions","全地域"
"","countryoptions.AllStates","もっと見る"
"","countryoptions.BrandMobile","<<BRAND>> モバイル"
"","countryoptions.Canton","州"
"","countryoptions.ChangeCity","違う市を選択する"
"","countryoptions.ChangeCountry","違う国を選択する"
"","countryoptions.ChooseCountry","郡を選択する"
"","countryoptions.ChooseEmirate","首長国を選択してください"
"","countryoptions.ChooseProvince","州を選択してください"
"","countryoptions.City","市:"
"","countryoptions.CityOrZip","市または郵便番号"
"","countryoptions.citySelect","市 を選ぶ"
"","countryoptions.ClickHereIfCantFindCity","あなたのお住まいの市が見つからない場合は、こちらをクリックしてください。"
"","countryoptions.ClickHereToEnterACity","ここをクリックして都市名を入力してください。"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","ここをクリックして郵便番号または都市名を入力してください。"
"","countryoptions.ClickHereToSelectTheCityFromAList","リストから都市名を選択する場合はコチラをクリックしてください。"
"","countryoptions.Country","国:"
"","countryoptions.County","郡"
"","countryoptions.departamentSelect","最も重要な分野"
"","countryoptions.departmentSelect","最も重要な分野"
"","countryoptions.Distance","距離"
"","countryoptions.Emirate","首長国"
"","countryoptions.emirateSelect","最も重要な首長国 "
"","countryoptions.EnterCity","市を入力する"
"","countryoptions.EnterCityOrZipCode","市か郵便番号を入力する"
"","countryoptions.EntireCountry","国全体"
"","countryoptions.Exact","正確な"
"","countryoptions.example","例"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","もっと見る"
"","countryoptions.Home_SelectCanton","州を選ぶ"
"","countryoptions.Home_SelectCity","市を選ぶ"
"","countryoptions.Home_SelectDepartment","分野を選ぶ"
"","countryoptions.Home_SelectEmirate","首長国を選ぶ"
"","countryoptions.Home_SelectProvince","地方を選ぶ"
"","countryoptions.Home_SelectRegion","地域を選ぶ"
"","countryoptions.Home_SelectState","州を選ぶ"
"","countryoptions.ListingLanguage","掲載言語"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","地図上検索であなたの地域の広告を探す"
"","countryoptions.Municipality","市"
"","countryoptions.NoCities","恐れ入ります。このセクションで該当する市がありません。"
"","countryoptions.NoCountries","申し訳ありません。このセクションには該当する国がありません。"
"","countryoptions.Ok","Ok"
"","countryoptions.Or","または市を選択する"
"","countryoptions.OrSelectACity","または市を選択する"
"","countryoptions.OrSelectARegion","または地域を選択する"
"","countryoptions.OtherCities","その他の都市"
"","countryoptions.OtherCitiesInRegion","<<REGION>>にあるその他の都市"
"","countryoptions.OtherProvinces","その他の地方"
"","countryoptions.OtherRegions","その他の地域"
"","countryoptions.OtherStates","その他の州"
"","countryoptions.PleaseChooseYourCity","市を選択してください"
"","countryoptions.PleaseChooseYourCounty","お住まいの郡をお選びください"
"","countryoptions.PleaseChooseYourPrefecture","お住まいの県のお選びください"
"","countryoptions.PleaseEnterYourZipCode","郵便番号を入力してください"
"","countryoptions.PleaseSelectACity","市を選択してください。"
"","countryoptions.PleaseSelectACountry","国を選択してください"
"","countryoptions.PostAdd","無料クラシファイドを掲載する"
"","countryoptions.Prefecture","県"
"","countryoptions.ProvinceRegion","州/地域"
"","countryoptions.provinceSelect","州"
"","countryoptions.Region","地域"
"","countryoptions.regionCantonSelect","州 "
"","countryoptions.regionSelect","地域:"
"","countryoptions.SelectACanton","州を選ぶ"
"","countryoptions.SelectACity","市を選ぶ"
"","countryoptions.SelectACityInRegion","<<REGION>>にある都市を選ぶ"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","分野を選ぶ"
"","countryoptions.SelectANeighborhood","地域を選ぶ"
"","countryoptions.SelectAnEmirate","首長国を選ぶ"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","地方を選ぶ"
"","countryoptions.SelectARegion","地域を選ぶ"
"","countryoptions.SelectAState","州を選ぶ"
"","countryoptions.SelectCanton","州を選択する"
"","countryoptions.SelectCityState","市または州を選択する"
"","countryoptions.SelectCountry","国を選択してください"
"","countryoptions.SelectCounty","地域を選ぶ"
"","countryoptions.SelectDepartament","分野を選択する"
"","countryoptions.SelectDepartment","分野を選択する。"
"","countryoptions.SelectedRegion","選択した地域"
"","countryoptions.SelectOnTheMap","地図上で選択"
"","countryoptions.SelectPrefecture","県を選ぶ"
"","countryoptions.SelectProvince","州を選んでください。"
"","countryoptions.SelectRegion","地域を選択してください"
"","countryoptions.SelectState","州を選択してください"
"","countryoptions.SendBrandBySmsToTheNumber","Send <<BRAND>> by SMS to the number 21616"
"","countryoptions.Send_OLX_to_number_3000","<<BLACKSTRONG>><<BRAND>><</BLACKSTRONG>>を送って、<<BLACKSTRONG>>3000<</BLACKSTRONG>>にする"
"","countryoptions.SiteLanguage","サイト言語"
"","countryoptions.State","地域を選択してください"
"","countryoptions.stateSelect","州を選択してください:"
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","お選びの都市が複数の州にあります。該当する州をお選びください:"
"","countryoptions.Town","町"
"","countryoptions.Wait","お待ちください..."
"","countryoptions.ZipCodeOrCity","郵便番号または市"
"","defaultfooter.About OLX","<<BRAND>> について"
"","defaultfooter.ADS_REGION","<<REGION>>内の広告"
"","defaultfooter.AdvancedSearch","エキスパート検索"
"","defaultfooter.AllListings","全リスト"
"","defaultfooter.AllStates","市を閲覧する"
"","defaultfooter.Back","戻る"
"","defaultfooter.BrandFreeClassifieds","100% 無料 でインターネットに広告が出せます"
"","defaultfooter.BrowseAds","広告を閲覧する"
"","defaultfooter.change","変更する"
"","defaultfooter.classifiedGratuitous","クラシファイド"
"","defaultfooter.ClassifiedsAndMuchMore","クラシファイドだけではありません!"
"","defaultfooter.ClassifiedsHelp","クラシファイドヘルプ"
"","defaultfooter.ClassifiedsHome","クラシファイドホーム"
"","defaultfooter.Click","こちらをクリックしてください"
"","defaultfooter.ClickHere","こちらをクリックしてください"
"","defaultfooter.Distance","距離"
"","defaultfooter.Exact","正確な"
"","defaultfooter.FreeSite","100% 無料 でインターネットに広告が出せます"
"","defaultfooter.GoHome","ホームにアクセスする"
"","defaultfooter.Hello","こんにちは、"
"","defaultfooter.Hello!","こんにちは!"
"","defaultfooter.Help","ヘルプ"
"","defaultfooter.HelpUs","新規: <<BRAND>> ではビデオをサポートできるようになりました。ぜひご利用ください!"
"","defaultfooter.Home","ホーム"
"","defaultfooter.IntellectualPropertyProtectionServices","知的財産保護サービス"
"","defaultfooter.ItemDetail","アイテムの詳細"
"","defaultfooter.ListingLanguage","掲載言語"
"","defaultfooter.Location","場所:"
"","defaultfooter.miles","マイル"
"","defaultfooter.MOBILE","電話"
"","defaultfooter.My OLX","マイ OLX"
"","defaultfooter.MyAskHT.com","My askHT.com"
"","defaultfooter.Not_You?","お客様ではありませんか?"
"","defaultfooter.OLX","<<BRAND>>"
"","defaultfooter.OLX Official Time","<<BRAND>> 公式時間"
"","defaultfooter.Optional","任意"
"","defaultfooter.Or","または"
"","defaultfooter.PopularSearches","人気の検索"
"","defaultfooter.Post","掲載する"
"","defaultfooter.PublishFreeAd","クラシファイドを掲載する"
"","defaultfooter.Region","地域"
"","defaultfooter.Register","登録する"
"","defaultfooter.Register2","登録する"
"","defaultfooter.Search","検索する"
"","defaultfooter.SelectCityState","州と市を選択する"
"","defaultfooter.SelectCountry","国を選択する"
"","defaultfooter.Selected_Region","選択した地域"
"","defaultfooter.Sign_In","サインインする"
"","defaultfooter.Sign_In2","サインインする"
"","defaultfooter.SiteLanguage","サイト言語"
"","defaultfooter.sitesAssociate","他の関係サイト:"
"","defaultfooter.State","州"
"","defaultfooter.Terms of use","利用規約"
"","defaultfooter.TheWeb","ウェブ"
"","defaultfooter.VoteUrl","/索引.php?a=1&newpost=1"
"","defaultfooter.Welcome","ようこそ"
"","defaultheader2.AllListings","すべてのリスト、全欄"
"","defaultheader2.Click","ここをクリックしてください。"
"","defaultheader2.FreeSite","<エリア> フリークラシファイド、無料広告"
"","defaultheader2.Hello","こんにちは, "
"","defaultheader2.Help","ヘルプ"
"","defaultheader2.Home","ホーム"
"","defaultheader2.My OLX","マイOLX"
"","defaultheader2.Not_You?","あなたではなく"
"","defaultheader2.OLX","<<BRAND>>"
"","defaultheader2.Or","または"
"","defaultheader2.Post","掲載する。"
"","defaultheader2.PublishFreeAd","無料広告（フリークラシファイド）を掲載する。"
"","defaultheader2.Register","一覧表"
"","defaultheader2.Search","検索する"
"","defaultheader2.TheWeb","ウェブ"
"","defaultheader2.Welcome","ようこそ"
"","defaultheader.'PublishFreeAd'","Hello"
"","defaultheader.AdvancedSearch","エキスパート検索"
