"location","source","target"
"","biderrorbody.Description1","보안상의 이유로 <<BRAND>>는 한 사용자당 일일 입찰 수를 제한하고 있습니다. <br />더 많은 수의 입찰을 원하시면 다음으로 연락하시기 바랍니다."
"","biderrorbody.Hello","안녕하세요."
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","감사합니다!"
"","biderrorheader.Click","이곳에 클릭하세요."
"","biderrorheader.Hello","안녕하세요, "
"","biderrorheader.Hello!","안녕하세요!"
"","biderrorheader.Help","지원센터"
"","biderrorheader.Home","홈"
"","biderrorheader.My OLX","나의 OLX"
"","biderrorheader.Not_You?","당신이 아닙니다."
"","biderrorheader.Or","혹은"
"","biderrorheader.Post","게재하기"
"","biderrorheader.Register","등록하기"
"","buyerinfo.Buyer","구매자"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","제품항목"
"","buyerinfo.OLXHomePage","나의 OLX로 돌아가기"
"","buyerinfo.PageTitle","나의 OLX >> <span class=""titOLX2"">구매자 정보</span>"
"","buyerinfo.Price","가격"
"","countryoptions.Accept","수락"
"","countryoptions.AllCanton","전 주"
"","countryoptions.AllCities","전 도시"
"","countryoptions.AllCounties","전체 카운티"
"","countryoptions.AllDepartaments","전 부서"
"","countryoptions.AllDepartments","All Departments"
"","countryoptions.AllEmirate","전 수장국"
"","countryoptions.AllLanguages","모든 언어"
"","countryoptions.AllPrefectures","전체 도"
"","countryoptions.AllProvince","모든 주"
"","countryoptions.AllRegions","모든 지역"
"","countryoptions.AllStates","모든 주 "
"","countryoptions.BrandMobile","<<BRAND>> 모바일"
"","countryoptions.Canton","주"
"","countryoptions.ChangeCity","도시 변경하기"
"","countryoptions.ChangeCountry","국가 변경하기"
"","countryoptions.ChooseCountry","카운티 정하기"
"","countryoptions.ChooseEmirate","수장국을 선택하세요."
"","countryoptions.ChooseProvince","지방을 선택하세요"
"","countryoptions.City","도시:"
"","countryoptions.CityOrZip","도시 또는 우편번호"
"","countryoptions.citySelect","가장 중요한 도시"
"","countryoptions.ClickHereIfCantFindCity","해당 도시를 찾으실 수 없을 경우 이곳에 클릭하세요."
"","countryoptions.ClickHereToEnterACity","이곳에 클릭하여 도시를 입력하세요."
"","countryoptions.ClickHereToEnterAZipCodeOrCity","우편번호, 도시를 입력하세요"
"","countryoptions.ClickHereToSelectTheCityFromAList","이곳에 클릭하여 목록서에서 도시를 선택하세요"
"","countryoptions.Country","국가:"
