"location","source","target"
"","biderrorbody.Description1","Due to security reasons, <<BRAND>> will limit the number of daily bids allowed per user.<br />If you want to bid on more items please contact us at "
"","biderrorbody.Hello","ഹലോ"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","നന്ദി!"
"","biderrorheader.Click","ഇവിടെ ക്ലിക്ക് ചെയ്യുക"
"","biderrorheader.Hello","ഹലോ,"
"","biderrorheader.Hello!","ഹലോ!"
"","biderrorheader.Help","സഹായം"
"","biderrorheader.Home","തുടങ്ങിയ ഇടത്തേക്ക്"
"","biderrorheader.My OLX","എന്റെ OLX"
"","biderrorheader.Not_You?","നിങ്ങളല്ല"
"","biderrorheader.Or","അല്ലെങ്കില്‍"
"","biderrorheader.Post","പോസ്റ്റ്"
"","biderrorheader.Register","റജിസ്റ്റര്‍"
"","buyerinfo.Buyer","ഉപഭോക്താവ്"
"","buyerinfo.E-mail","ഇ-മെയില്‍"
"","buyerinfo.Item","വസ്തു"
"","buyerinfo.OLXHomePage","തിരിച്ച് എന്റെ OLX ലേക്ക്"
"","buyerinfo.PageTitle","എന്റെ OLX >> <span class=""titOLX2"">ഉപഭോക്താവിനെക്കുറിച്ചുള്ള വിവരങ്ങള്‍</span>"
"","buyerinfo.Price","വില"
"","countryoptions.Accept","സ്വീകരിക്കുക"
"","countryoptions.AllCanton","എല്ലാ പ്രദേശങ്ങളും"
"","countryoptions.AllCities","എല്ലാ നഗരങ്ങളും"
"","countryoptions.AllCounties","എല്ലാ ജില്ലകളും"
"","countryoptions.AllDepartaments","എല്ലാ വകുപ്പുകളും"
"","countryoptions.AllDepartments","എല്ലാ വകുപ്പുകളും"
"","countryoptions.AllEmirate","എല്ലാ എമിറേറ്റുകളും"
"","countryoptions.AllLanguages","എല്ലാ ഭാഷകളും"
"","countryoptions.AllPrefectures","എല്ലാ ജില്ലാ ആസ്ഥാനങ്ങളും"
"","countryoptions.AllProvince","എല്ലാ പ്രവിശ്യകളും"
"","countryoptions.AllRegions","എല്ലാ ഭൂപ്രദേശങ്ങളും"
"","countryoptions.AllStates","ഇനിയും"
"","countryoptions.BrandMobile","<<BRAND>> മൊബൈല്‍"
"","countryoptions.Canton","ഭൂവിഭാഗം"
"","countryoptions.ChangeCity","പട്ടണം മാറ്റുക"
"","countryoptions.ChangeCountry","രാജ്യം മാറ്റുക"
"","countryoptions.ChooseCountry","രാജും തിരഞ്ഞെടുക്കുക"
"","countryoptions.ChooseEmirate","എമിറേറ്റ് തിരഞ്ഞെടുക്കുക"
"","countryoptions.ChooseProvince","പ്രവിശ്യ തിരഞ്ഞെടുക്കുക"
"","countryoptions.City","നഗരം:"
"","countryoptions.CityOrZip","നഗരം അല്ലെങ്കില്‍ സിപ്പ് കോഡ്"
"","countryoptions.citySelect","ഒരു നഗരം നിരഞ്ഞെടുക്കുക"
"","countryoptions.ClickHereIfCantFindCity","നിങ്ങളുടെ പട്ടണം നിങ്ങള്‍ക്ക് കാണുവാന്‍ കഴിയുന്നില്ലെങ്കില്‍ ഇവിടെ ക്ലിക്ക് ചെയ്യുക"
"","countryoptions.ClickHereToEnterACity","ഒരു പട്ടണം നല്കുവാന് ഇവിടെ ക്ലിക്ക് ചെയ്യുക"
