"location","source","target"
"","biderrorbody.Description1","Om veiligheidsredenen zal <<BRAND>> het aantal biedingen per dag per gebruiker beperken.<br />Indien u meer biedingen wilt doen neemt u dan contact met ons op "
"","biderrorbody.Hello","Hallo"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Bedankt!"
"","biderrorheader.Click","Klik hier"
"","biderrorheader.Hello","Hallo, "
"","biderrorheader.Hello!","Hallo!"
"","biderrorheader.Help","Help"
"","biderrorheader.Home","Home"
"","biderrorheader.My OLX","Mijn OLX"
"","biderrorheader.Not_You?","Iemand anders?"
"","biderrorheader.Or","of"
"","biderrorheader.Post","Plaatsen"
"","biderrorheader.Register","Registreren"
"","buyerinfo.Buyer","Koper"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","Item"
"","buyerinfo.OLXHomePage","Terug naar Mijn OLX"
"","buyerinfo.PageTitle","Mijn OLX >> <span class=""titOLX2"">Informatie over de koper</span>"
"","buyerinfo.Price","Prijs"
"","countryoptions.Accept","Accepteren"
"","countryoptions.AllCanton","Alle kantons"
"","countryoptions.AllCities","Alle steden"
"","countryoptions.AllCounties","Alle provincies"
"","countryoptions.AllDepartaments","Alle districten"
"","countryoptions.AllDepartments","Alle Departementen"
"","countryoptions.AllEmirate","Alle emiraten"
"","countryoptions.AllLanguages","Alle talen"
"","countryoptions.AllPrefectures","Alle prefecturen"
"","countryoptions.AllProvince","Alle provincies"
"","countryoptions.AllRegions","Alle regio's"
"","countryoptions.AllStates","Meer"
"","countryoptions.BrandMobile","<<BRAND>> Mobiel"
"","countryoptions.Canton","Kanton"
"","countryoptions.ChangeCity","Plaats wijzigen"
"","countryoptions.ChangeCountry","Land wijzigen"
"","countryoptions.ChooseCountry","Kies district"
"","countryoptions.ChooseEmirate","Kies emiraat"
"","countryoptions.ChooseProvince","Kies provincie"
"","countryoptions.City","Plaats:"
"","countryoptions.CityOrZip","Plaats of postcode"
"","countryoptions.citySelect","Kies een stad:"
"","countryoptions.ClickHereIfCantFindCity","Klik hier als je de gewenste stad niet kunt vinden"
"","countryoptions.ClickHereToEnterACity","Vul een plaats in"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Vul een postcode of plaats in"
"","countryoptions.ClickHereToSelectTheCityFromAList","Kies een plaats uit een lijst"
"","countryoptions.Country","Land:"
"","countryoptions.County","County"
"","countryoptions.departamentSelect","Belangrijkste districten van"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Afstand"
"","countryoptions.Emirate","Emiraat"
"","countryoptions.emirateSelect","Belangrijkste emiraten van "
"","countryoptions.EnterCity","Vul een plaats in"
"","countryoptions.EnterCityOrZipCode","Vul een plaats of postcode in"
"","countryoptions.EntireCountry","Het hele land"
"","countryoptions.Exact","Exact"
"","countryoptions.example","voorbeeld"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Meer"
"","countryoptions.Home_SelectCanton","Kies een kanton"
"","countryoptions.Home_SelectCity","Kies een stad"
"","countryoptions.Home_SelectDepartment","Kies een district"
"","countryoptions.Home_SelectEmirate","Kies een emiraat"
"","countryoptions.Home_SelectProvince","Kies een provincie"
"","countryoptions.Home_SelectRegion","Kies een regio"
"","countryoptions.Home_SelectState","Kies een staat"
"","countryoptions.ListingLanguage","Advertentie in"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Zoek regionale advertenties door jouw regio te selecteren op de kaart"
"","countryoptions.Municipality","Gemeente"
"","countryoptions.NoCities","Sorry, in dit onderdeel bevinden zich geen steden"
"","countryoptions.NoCountries","In dit onderdeel bevinden zich geen landen"
