"location","source","target"
"","biderrorbody.Description1","Due to security reasons, <<BRAND>> will limit the number of daily bids allowed per user.<br />If you want to bid on more items please contact us at "
"","biderrorbody.Hello","ਹੈਲੋ"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","ਧੰਨਵਾਦ!"
"","biderrorheader.Click","ਇੱਥੇ ਕਲਿੱਕ ਕਰੋ"
"","biderrorheader.Hello","Hello, "
"","biderrorheader.Hello!","ਹੈਲੋ!"
"","biderrorheader.Help","ਮਦਦ"
"","biderrorheader.Home","ਘਰ"
"","biderrorheader.My OLX","My OLX"
"","biderrorheader.Not_You?","ਤੁਸੀਂ ਨਹੀਂ ਹੋ"
"","biderrorheader.Or","ਜਾਂ"
"","biderrorheader.Post","ਪੋਸਟ ਕਰੋ"
"","biderrorheader.Register","ਰਜਿਸਟਰ ਕਰੋ"
"","buyerinfo.Buyer","ਖਰੀਦਾਰ"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","ਆਈਟਮ"
"","buyerinfo.OLXHomePage","Back to My OLX"
"","buyerinfo.PageTitle","My OLX >> <span class=""titOLX2"">Buyer Information</span>"
"","buyerinfo.Price","ਕੀਮਤ"
"","countryoptions.Accept","ਸਵੀਕਾਰ ਕਰੋ"
"","countryoptions.AllCanton","ਸਾਰੇ ਕੈਂਟਨ"
"","countryoptions.AllCities","ਸਾਰੇ ਸ਼ਹਿਰ"
"","countryoptions.AllCounties","ਸਾਰੇ ਦੇਸ਼"
"","countryoptions.AllDepartaments","ਸਾਰੇ ਵਿਭਾਗ"
"","countryoptions.AllDepartments","ਸਾਰੇ ਵਿਭਾਗ"
"","countryoptions.AllEmirate","ਸਾਰੇ ਅਮੀਰੇਟ"
"","countryoptions.AllLanguages","ਸਾਰੀਆਂ ਭਾਸ਼ਾਵਾਂ"
"","countryoptions.AllPrefectures","ਸਾਰੇ ਪਰੀਫੈਕਚਰ"
"","countryoptions.AllProvince","ਸਾਰੇ ਸੂਬੇ"
"","countryoptions.AllRegions","ਸਾਰੇ ਪ੍ਰਦੇਸ਼"
"","countryoptions.AllStates","ਹੋਰ"
"","countryoptions.BrandMobile","<<BRAND>> ਮੋਬਾਈਲ:"
"","countryoptions.Canton","ਕੈਂਟਨ"
"","countryoptions.ChangeCity","ਸ਼ਹਿਰ ਬਦਲੋ"
"","countryoptions.ChangeCountry","ਦੇਸ਼ ਬਦਲੋ"
"","countryoptions.ChooseCountry","ਦੇਸ਼ ਚੁਣੋ"
"","countryoptions.ChooseEmirate","ਅਮੀਰੇਟ ਚੁਣੋ"
"","countryoptions.ChooseProvince","ਸੂਬਾ ਚੁਣੋ"
"","countryoptions.City","ਸ਼ਹਿਰ:"
"","countryoptions.CityOrZip","ਸ਼ਹਿਰ ਜਾਂ ਜ਼ਿਪ ਕੋਡ"
"","countryoptions.citySelect","ਕੋਈ ਸ਼ਹਿਰ ਚੁਣੋ:"
"","countryoptions.ClickHereIfCantFindCity","ਜੇ ਤੁਹਾਨੂੰ ਆਪਣਾ ਸ਼ਹਿਰ ਨਹੀਂ ਮਿਲਦਾ ਤਾਂ ਇੱਥੇ ਕਲਿੱਕ ਕਰੋ"
"","countryoptions.ClickHereToEnterACity","ਸ਼ਹਿਰ ਦਾਖਲ ਕਰਨ ਲਈ ਇੱਥੇ ਕਲਿੱਕ ਕਰੋ"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","ਜ਼ਿਪ ਕੋਡ ਜਾਂ ਸ਼ਹਿਰ ਦਾਖਲ ਕਰਨ ਲਈ ਇੱਥੇ ਕਲਿੱਕ ਕਰੋ"
"","countryoptions.ClickHereToSelectTheCityFromAList","ਸੂਚੀ ਵਿੱਚੋਂ ਸ਼ਹਿਰ ਚੁਣਨ ਲਈ ਇੱਥੇ ਕਲਿੱਕ ਕਰੋ।"
"","countryoptions.Country","ਦੇਸ਼:"
"","countryoptions.County","ਕਾਉਂਟੀ"
"","countryoptions.departamentSelect","ਇਸ ਦੇ ਸਭ ਤੋਂ ਮਹੱਤਵਪੂਰਨ ਵਿਭਾਗ"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","ਦੂਰੀ"
"","countryoptions.Emirate","ਅਮੀਰੇਟ"
"","countryoptions.emirateSelect","ਇਸ ਦੇ ਸਭ ਤੋਂ ਮਹੱਤਵਪੂਰਨ ਅਮੀਰੇਟ"
"","countryoptions.EnterCity","ਕੋਈ ਸ਼ਹਿਰ ਦਾਖਲ ਕਰੋ"
"","countryoptions.EnterCityOrZipCode","ਸ਼ਹਿਰ ਜਾਂ ਜ਼ਿਪ ਕੋਡ ਦਾਖਲ ਕਰੋ"
"","countryoptions.EntireCountry","ਪੂਰਾ ਦੇਸ਼"
"","countryoptions.Exact","ਬਿਲਕੁਲ ਮੇਲ"
"","countryoptions.example","ਉਦਾਹਰਨ"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","ਹੋਰ"
"","countryoptions.Home_SelectCanton","ਕੋਈ ਕੈਂਟਨ ਚੁਣੋ"
"","countryoptions.Home_SelectCity","ਕੋਈ ਸ਼ਹਿਰ ਚੁਣੋ"
"","countryoptions.Home_SelectDepartment","ਕੋਈ ਵਿਭਾਗ ਚੁਣੋ"
"","countryoptions.Home_SelectEmirate","ਕੋਈ ਅਮੀਰੇਟ ਚੁਣੋ"
"","countryoptions.Home_SelectProvince","ਕੋਈ ਸੂਬਾ ਚੁਣੋ"
"","countryoptions.Home_SelectRegion","ਕੋਈ ਪ੍ਰਦੇਸ਼ ਚੁਣੋ"
"","countryoptions.Home_SelectState","ਕੋਈ ਰਾਜ ਚੁਣੋ"
"","countryoptions.ListingLanguage","ਇਸ ਵਿੱਚ ਇਸ਼ਤਿਹਾਰ:"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","ਆਪਣੇ ਖੇਤਰ ਨੂੰ ਨਕਸ਼ੇ 'ਤੇ ਚੁਣ ਕੇ ਇਸ ਵਿੱਚ ਇਸ਼ਤਿਹਾਰ ਲੱਭੋ।"
"","countryoptions.Municipality","ਮਿਉਂਸੀਪਿਲਿਟੀ"
"","countryoptions.NoCities","Sorry, we don't have any cities in this section"
"","countryoptions.NoCountries","ਮਾਫ਼ ਕਰਨਾ, ਇਸ ਭਾਗ ਵਿੱਚ ਸਾਡੇ ਕੋਲ ਕੋਈ ਦੇਸ਼ ਨਹੀਂ ਹਨ"
"","countryoptions.Ok","ਠੀਕ"
"","countryoptions.Or","ਜਾਂ ਕੋਈ ਸ਼ਹਿਰ ਚੁਣੋ"
"","countryoptions.OrSelectACity","ਜਾਂ ਕੋਈ ਸ਼ਹਿਰ ਚੁਣੋ"
"","countryoptions.OrSelectARegion","ਜਾਂ ਕੋਈ ਪ੍ਰਦੇਸ਼ ਚੁਣੋ"
"","countryoptions.OtherCities","ਦੂਜੇ ਸ਼ਹਿਰ"
"","countryoptions.OtherCitiesInRegion","<<REGION>> ਵਿੱਚ ਹੋਰ ਦੇਸ਼"
"","countryoptions.OtherProvinces","ਦੂਜੇ ਸੂਬੇ"
"","countryoptions.OtherRegions","ਦੂਜੇ ਖੇਤਰ"
"","countryoptions.OtherStates","ਦੂਜੇ ਰਾਜ"
"","countryoptions.PleaseChooseYourCity","ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਸ਼ਹਿਰ ਚੁਣੋ"
"","countryoptions.PleaseChooseYourCounty","ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਦੇਸ਼ ਚੁਣੋ"
"","countryoptions.PleaseChooseYourPrefecture","ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਪਰੀਫੈਕਚਰ ਚੁਣੋ"
"","countryoptions.PleaseEnterYourZipCode","ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਜ਼ਿਪ ਕੋਡ ਦਾਖ਼ਲ ਕਰੋ"
"","countryoptions.PleaseSelectACity","ਕਿਰਪਾ ਕਰਕੇ ਸ਼ਹਿਰ ਚੁਣੋ।"
"","countryoptions.PleaseSelectACountry","ਕਿਰਪਾ ਕਰਕੇ ਕੋਈ ਦੇਸ਼ ਚੁਣੋ"
"","countryoptions.PostAdd","ਮੁਫ਼ਤ ਵਰਗੀਕ੍ਰਿਤ ਇਸ਼ਤਿਹਾਰ ਪੋਸਟ ਕਰੋ"
"","countryoptions.Prefecture","ਪਰੀਫੈਕਚਰ"
"","countryoptions.ProvinceRegion","ਸੂਬਾ/ਪ੍ਰਦੇਸ਼"
"","countryoptions.provinceSelect","ਸੂਬੇ:"
"","countryoptions.Region","ਸਥਾਨ"
"","countryoptions.regionCantonSelect","ਕੈਂਟਨ:"
"","countryoptions.regionSelect","ਪ੍ਰਦੇਸ਼:"
"","countryoptions.SelectACanton","ਕੋਈ ਕੈਂਟਨ ਚੁਣੋ"
"","countryoptions.SelectACity","ਕੋਈ ਸ਼ਹਿਰ ਚੁਣੋ"
"","countryoptions.SelectACityInRegion","<<REGION>> ਵਿੱਚ ਕੋਈ ਸ਼ਹਿਰ ਚੁਣੋ"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","ਕੋਈ ਵਿਭਾਗ ਚੁਣੋ"
"","countryoptions.SelectANeighborhood","ਕੋਈ ਗੁਆਂਢ ਚੁਣੋ"
"","countryoptions.SelectAnEmirate","ਕੋਈ ਅਮੀਰੇਟ ਚੁਣੋ"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","ਕੋਈ ਸੂਬਾ ਚੁਣੋ"
"","countryoptions.SelectARegion","ਕੋਈ ਪ੍ਰਦੇਸ਼ ਚੁਣੋ"
"","countryoptions.SelectAState","ਕੋਈ ਰਾਜ ਚੁਣੋ"
"","countryoptions.SelectCanton","ਕੈਂਟਨ ਚੁਣੋ"
"","countryoptions.SelectCityState","ਸ਼ਹਿਰ/ਰਾਜ ਚੁਣੋ"
"","countryoptions.SelectCountry","ਕਾਉਂਟੀ ਚੁਣੋ"
"","countryoptions.SelectCounty","ਦੇਸ਼ ਚੁਣੋ"
"","countryoptions.SelectDepartament","ਵਿਭਾਗ ਚੁਣੋ"
"","countryoptions.SelectDepartment","ਵਿਭਾਗ ਚੁਣੋ"
"","countryoptions.SelectedRegion","ਚੁਣਿਆ ਪ੍ਰਦੇਸ਼"
"","countryoptions.SelectOnTheMap","ਨਕਸ਼ੇ 'ਤੇ ਚੁਣੋ"
"","countryoptions.SelectPrefecture","ਪਰੀਫੈਕਚਰ ਚੁਣੋ"
