"location","source","target"
"","biderrorbody.Description1","Por razões de segurança, o <<BRAND>> limita o número de ofertas que os utilizadores podem fazer por dia.<br /> Se desejar fazer ofertas por mais artigos queira por favor contactar-nos em "
"","biderrorbody.Hello","Olá"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","Equipe de Apoio"
"","biderrorbody.ThankYou","Muito Obrigado!"
"","biderrorheader.Click","faça clique aqui"
"","biderrorheader.Hello","Olá"
"","biderrorheader.Hello!","Olá!"
"","biderrorheader.Help","Ajuda"
"","biderrorheader.Home","Início"
"","biderrorheader.My OLX","O MeuOLX"
"","biderrorheader.Not_You?","não é você"
"","biderrorheader.Or","ou"
"","biderrorheader.Post","Publicar um anúncio"
"","biderrorheader.Register","Registar-se"
"","buyerinfo.Buyer","Comprador"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","Artigo"
"","buyerinfo.OLXHomePage","Voltar ao MeuOLX"
"","buyerinfo.PageTitle","MeuOLX >> <span class=""titOLX2"">Informação do Comprador</span>"
"","buyerinfo.Price","Preço"
"","countryoptions.Accept","Aceitar"
"","countryoptions.AllCanton","Todos os Cantões"
"","countryoptions.AllCities","Todas as Cidades"
"","countryoptions.AllCounties","Todos os condados"
"","countryoptions.AllDepartaments","Todas os Departamentos"
"","countryoptions.AllDepartments","Todas os Departamentos"
"","countryoptions.AllEmirate","Todos os Emirados"
"","countryoptions.AllLanguages","Todas as línguas"
"","countryoptions.AllPrefectures","Todas as jurisdições"
"","countryoptions.AllProvince","Todos as Províncias"
"","countryoptions.AllRegions","Todas as Regiões"
"","countryoptions.AllStates","Todos os Estados"
"","countryoptions.BrandMobile","<<BRAND>> Móvel"
"","countryoptions.Canton","Cantão"
"","countryoptions.ChangeCity","Alterar cidade"
"","countryoptions.ChangeCountry","Alterar país"
"","countryoptions.ChooseCountry","Escolha um Condado"
"","countryoptions.ChooseEmirate","Seleccione o Emirado"
"","countryoptions.ChooseProvince","Seleccione a Província"
"","countryoptions.City","Cidade/Zona Urbana:"
"","countryoptions.CityOrZip","Cidade ou Código Postal"
"","countryoptions.citySelect","Selecione uma cidade:"
"","countryoptions.ClickHereIfCantFindCity","Clique aqui se não conseguir encontrar a sua cidade"
"","countryoptions.ClickHereToEnterACity","Clique aqui para introduzir uma cidade"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Código postal ou cidade"
"","countryoptions.ClickHereToSelectTheCityFromAList","Clique aqui para seleccionar a cidade a partir da lista"
"","countryoptions.Country","País:"
"","countryoptions.County","Condado"
"","countryoptions.departamentSelect","Departamento mais importante de"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Distância"
"","countryoptions.Emirate","Emirate"
"","countryoptions.emirateSelect","Emirados mas importantes de "
"","countryoptions.EnterCity","Introduza uma Cidade"
"","countryoptions.EnterCityOrZipCode","Cidade ou Código Postal"
"","countryoptions.EntireCountry","Todo o país"
"","countryoptions.Exact","Exacto"
"","countryoptions.example","exemplo"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Mais"
"","countryoptions.Home_SelectCanton","Selecione um cantão"
"","countryoptions.Home_SelectCity","Selecione uma cidade"
"","countryoptions.Home_SelectDepartment","Selecione um departamento"
"","countryoptions.Home_SelectEmirate","Selecione um emirado"
"","countryoptions.Home_SelectProvince","Selecione uma província"
"","countryoptions.Home_SelectRegion","Selecione uma região"
"","countryoptions.Home_SelectState","Selecione um estado"
"","countryoptions.ListingLanguage","Anúncios em"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Procure anúncios na sua região seleccionando-a no mapa"
"","countryoptions.Municipality","Município"
"","countryoptions.NoCities","Pedimos desculpa mas não temos cidades nesta secção"
"","countryoptions.NoCountries","Pedimos desculpa mas não temos países nesta secção"
"","countryoptions.Ok","Ok"
"","countryoptions.Or","Ou seleccione uma Cidade"
"","countryoptions.OrSelectACity","Ou seleccione uma Cidade"
"","countryoptions.OrSelectARegion","Ou seleccione uma região"
"","countryoptions.OtherCities","Outras cidades"
"","countryoptions.OtherCitiesInRegion","Outras Cidades em <<REGION>>"
"","countryoptions.OtherProvinces","Outras províncias"
"","countryoptions.OtherRegions","Outras regiões"
"","countryoptions.OtherStates","Outros estados"
"","countryoptions.PleaseChooseYourCity","Por favor seleccione a sua cidade"
"","countryoptions.PleaseChooseYourCounty","Por favor escolha o seu país"
"","countryoptions.PleaseChooseYourPrefecture","Por favor escolha a sua jurisdição"
"","countryoptions.PleaseEnterYourZipCode","Por favor introduza o seu código postal"
"","countryoptions.PleaseSelectACity","Por favor seleccione uma Cidade."
"","countryoptions.PleaseSelectACountry","Por favor seleccione um país"
"","countryoptions.PostAdd","Publicar um anúncio grátis"
"","countryoptions.Prefecture","Jurisdição"
"","countryoptions.ProvinceRegion","Província/Região"
"","countryoptions.provinceSelect","Províncias:"
"","countryoptions.Region","Localização"
"","countryoptions.regionCantonSelect","Cantão:"
"","countryoptions.regionSelect","Região:"
"","countryoptions.SelectACanton","Selecione um cantão"
"","countryoptions.SelectACity","Selecione uma cidade"
"","countryoptions.SelectACityInRegion","Seleccione uma Cidade em <<REGION>>"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","Selecione um departamento"
"","countryoptions.SelectANeighborhood","Seleccione uma localidade vizinha"
"","countryoptions.SelectAnEmirate","Selecione um emirado"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","Selecione uma província"
"","countryoptions.SelectARegion","Selecione uma região"
"","countryoptions.SelectAState","Selecione um estado"
"","countryoptions.SelectCanton","Seleccione Cantão"
