"location","source","target"
"","biderrorbody.Description1","Datorită motivelor de securitate, <<BRAND>> va limita numărul zilnic de licitaţii al unui utilizator.<br />Dacă doriţi să licitaţi la mai mult de un obiect, vă rugăm să ne contactaţi la"
"","biderrorbody.Hello","Bună"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Mulţumiri!"
"","biderrorheader.Click","Faceţi click aici"
"","biderrorheader.Hello","Bună, "
"","biderrorheader.Hello!","Bună!"
"","biderrorheader.Help","Ajutor"
"","biderrorheader.Home","Acasă"
"","biderrorheader.My OLX","OLX-ul meu"
"","biderrorheader.Not_You?","Nu dumneavoastră"
"","biderrorheader.Or","sau"
"","biderrorheader.Post","Afişează"
"","biderrorheader.Register","Înregistrează-te"
"","buyerinfo.Buyer","Cumpărător"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","Articol"
"","buyerinfo.OLXHomePage","Înapoi la OLX-ul Meu"
"","buyerinfo.PageTitle","Pagina mea OLX >> <span class=""titOLX2"">Informaţii despre cumpărător</span>"
"","buyerinfo.Price","Preţ"
"","countryoptions.Accept","Acceptă"
"","countryoptions.AllCanton","Toate Cantoanele"
"","countryoptions.AllCities","Toate Oraşele"
"","countryoptions.AllCounties","Toate judeţele"
"","countryoptions.AllDepartaments","Toate Departamentele"
"","countryoptions.AllDepartments","All Departments"
"","countryoptions.AllEmirate","Toate Emiratele"
"","countryoptions.AllLanguages","Toate Limbile"
"","countryoptions.AllPrefectures","Toate prefecturile"
"","countryoptions.AllProvince","Toate Provinciile"
"","countryoptions.AllRegions","Toate Regiunile"
"","countryoptions.AllStates","Toate Statele"
"","countryoptions.BrandMobile","<<BRAND>> Mobile"
"","countryoptions.Canton","Canton"
"","countryoptions.ChangeCity","Modificare oraş"
"","countryoptions.ChangeCountry","Modificare ţară"
"","countryoptions.ChooseCountry","Alegeţi regiunea"
"","countryoptions.ChooseEmirate","Alegeţi Emiratul"
"","countryoptions.ChooseProvince","Alegeţi provincia"
"","countryoptions.City","Oraş:"
"","countryoptions.CityOrZip","Oraş sau Codul Poştal"
"","countryoptions.citySelect","Alege un oraş"
"","countryoptions.ClickHereIfCantFindCity","Faceţi click aici dacă nu găsiţi oraşul dvs."
"","countryoptions.ClickHereToEnterACity","Faceţi click aici pentru a introduce un Oraş"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Faceţi click aici pentru a introduce un Cod Poştal sau un Oraş"
"","countryoptions.ClickHereToSelectTheCityFromAList","Faceţi click aici pentru a alege oraşul dintr-o listă"
"","countryoptions.Country","Ţara:"
"","countryoptions.County","Ţara"
"","countryoptions.departamentSelect","Cele mai importante departamente al"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Distanţă"
"","countryoptions.Emirate","Emirat"
