"location","source","target"
"","biderrorbody.Description1","В целях безопасности, на <<BRAND>>  существует лимит на количество ставок на каждого пользователя в день.<br />Если Вам нужно сделать ставки для большего количества предложений, напишите нам на "
"","biderrorbody.Hello","Здравствуйте"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Спасибо!"
"","biderrorheader.Click","нажмите здесь"
"","biderrorheader.Hello","Здравствуйте,"
"","biderrorheader.Hello!","Здравствуйте!"
"","biderrorheader.Help","Помощь"
"","biderrorheader.Home","Главная"
"","biderrorheader.My OLX","Мой OLX"
"","biderrorheader.Not_You?","не Вы"
"","biderrorheader.Or","или"
"","biderrorheader.Post","Добавить объявление"
"","biderrorheader.Register","Регистрация"
"","buyerinfo.Buyer","Покупатель"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","Объявление"
"","buyerinfo.OLXHomePage","Вернуться в раздел ""Мой OLX"""
"","buyerinfo.PageTitle","Мой OLX >> <span class=""titOLX2"">Информация о покупателе</span>"
"","buyerinfo.Price","Цена"
"","countryoptions.Accept","Применить"
"","countryoptions.AllCanton","Все округа"
"","countryoptions.AllCities","Все города"
"","countryoptions.AllCounties","Все страны"
"","countryoptions.AllDepartaments","Все округа"
"","countryoptions.AllDepartments","All Departments"
"","countryoptions.AllEmirate","Все эмираты"
"","countryoptions.AllLanguages","Все языки"
"","countryoptions.AllPrefectures","Все префектуры"
"","countryoptions.AllProvince","Все провинции"
"","countryoptions.AllRegions","Все регионы"
"","countryoptions.AllStates","Еще"
"","countryoptions.BrandMobile","Мобильный <<BRAND>>"
"","countryoptions.Canton","Округ"
"","countryoptions.ChangeCity","Изменить город"
"","countryoptions.ChangeCountry","Изменить страну"
"","countryoptions.ChooseCountry","Выберите страну"
"","countryoptions.ChooseEmirate","Выберите эмират"
"","countryoptions.ChooseProvince","Выберите провинцию"
"","countryoptions.City","Город:"
"","countryoptions.CityOrZip","Город"
"","countryoptions.citySelect","Выберите город:"
"","countryoptions.ClickHereIfCantFindCity","Нажмите здесь, если вы не можете найти свой город"
"","countryoptions.ClickHereToEnterACity","Нажмите здесь, чтобы ввести город"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Нажмите здесь, чтобы ввести индекс или город"
