"location","source","target"
"","biderrorbody.Description1","Due to security reasons, <<BRAND>> will limit the number of daily bids allowed per user.<br />If you want to bid on more items please contact us at "
"","biderrorbody.Hello","හෙලෝ"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","ස්තූතියි!"
"","biderrorheader.Click","මෙතැන ක්ලික් කරන්න"
"","biderrorheader.Hello","Hello, "
"","biderrorheader.Hello!","හෙලෝ!"
"","biderrorheader.Help","උපකාර"
"","biderrorheader.Home","මුල්පිටුව"
"","biderrorheader.My OLX","My OLX"
"","biderrorheader.Not_You?","ඔබ නොවේ"
"","biderrorheader.Or","හෝ"
"","biderrorheader.Post","පළ කරන්න"
"","biderrorheader.Register","ලියාපදිංචි කරන්න"
"","buyerinfo.Buyer","මිලට ගන්නා"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","අයිතමය"
"","buyerinfo.OLXHomePage","Back to My OLX"
"","buyerinfo.PageTitle","My OLX >> <span class=""titOLX2"">Buyer Information</span>"
"","buyerinfo.Price","මිල"
"","countryoptions.Accept","පිළිගන්න"
"","countryoptions.AllCanton","සියලු කෝරාල"
"","countryoptions.AllCities","සියලු නගර"
"","countryoptions.AllCounties","සියලු රටවල්"
"","countryoptions.AllDepartaments","සියලු දෙපාර්තමේන්තු"
"","countryoptions.AllDepartments","සියලු දෙපාර්තමේන්තු"
"","countryoptions.AllEmirate","සියලු එමිරේට්ස්"
"","countryoptions.AllLanguages","සියලු භාෂාවන්"
"","countryoptions.AllPrefectures","සියලු දිස්ත්‍රික්ක"
"","countryoptions.AllProvince","සියලු පළාත්"
"","countryoptions.AllRegions","සියලු කලාප"
"","countryoptions.AllStates","තව"
"","countryoptions.BrandMobile","ජංගම <<BRAND>>"
"","countryoptions.Canton","කෝරලය"
"","countryoptions.ChangeCity","නගරය වෙනස් කරන්න"
"","countryoptions.ChangeCountry","රට වෙනස් කරන්න"
"","countryoptions.ChooseCountry","රට තෝරන්න"
"","countryoptions.ChooseEmirate","එමිරේට් තෝරන්න"
"","countryoptions.ChooseProvince","පළාත තෝරන්න"
"","countryoptions.City","නගරය:"
"","countryoptions.CityOrZip","නගරය හෝ නගර කේතය"
"","countryoptions.citySelect","නගරයක් තෝරන්න:"
"","countryoptions.ClickHereIfCantFindCity","ඔබේ නගරය සොයා ගැනීමට නොහැකි නම් මෙතැන ක්ලික් කරන්න"
"","countryoptions.ClickHereToEnterACity","නගරයක් ඇතුල් කිරීමට මෙතැන ක්ලික් කරන්න"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","සිප් කේතය හෝ නගරය ඇතුල් කරන්න"
"","countryoptions.ClickHereToSelectTheCityFromAList","ලැයිස්තුවකින් නගරය තේරීමට මෙතැන ක්ලික් කරන්න"
"","countryoptions.Country","රට:"
"","countryoptions.County","පත්තුව"
"","countryoptions.departamentSelect","වඩාත් වැදගත් දෙපාර්තමේන්තු"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","දුර"
"","countryoptions.Emirate","එමිරේට්"
"","countryoptions.emirateSelect","වඩාත්ම වැදගත් එමිරේට්ස්"
"","countryoptions.EnterCity","නගරයක් ඇතුල් කරන්න"
"","countryoptions.EnterCityOrZipCode","නගර හෝ සිප් කේතයක් ඇතුල් කරන්න"
"","countryoptions.EntireCountry","මුළු රට"
"","countryoptions.Exact","හරියටම"
"","countryoptions.example","නිදසුන්"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","තව"
"","countryoptions.Home_SelectCanton","කෝරලයක් තෝරන්න"
"","countryoptions.Home_SelectCity","නගරයක් තෝරන්න"
"","countryoptions.Home_SelectDepartment","දෙපාර්තමේන්තුවක් තෝරන්න"
"","countryoptions.Home_SelectEmirate","එමිරේට් එකක් තෝරන්න"
"","countryoptions.Home_SelectProvince","පළාතක් තෝරන්න"
"","countryoptions.Home_SelectRegion","කලාපයක් තෝරන්න"
"","countryoptions.Home_SelectState","ප්‍රාන්තයක් තෝරන්න"
"","countryoptions.ListingLanguage","හි ලැයිස්තු"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","සිතියම මත තෝරමින් ඔබේ කලාපයේ දැන්වීම් සොයන්න"
"","countryoptions.Municipality","නාගරිකය"
"","countryoptions.NoCities","Sorry, we don't have any cities in this section"
"","countryoptions.NoCountries","කණගාටුයි, මෙම කොටසේ අපට කිසිදු රටක් නොමැත"
"","countryoptions.Ok","Ok"
"","countryoptions.Or","නැතහොත් නගරයක් ‍තෝරන්න"
"","countryoptions.OrSelectACity","නැතහොත් නගරයක් ‍තෝරන්න"
"","countryoptions.OrSelectARegion","නැතහොත් කලාපයක් තෝරන්න"
"","countryoptions.OtherCities","අනෙකුත් නගර"
"","countryoptions.OtherCitiesInRegion","<<REGION>> හි වෙනත් නගර"
"","countryoptions.OtherProvinces","වෙනත් පළාත්"
"","countryoptions.OtherRegions","වෙනත් ප්‍රදේශ"
"","countryoptions.OtherStates","අනෙක් ප්‍රාන්ත"
"","countryoptions.PleaseChooseYourCity","කරුණාකර ඔබේ නගරය තෝරන්න"
"","countryoptions.PleaseChooseYourCounty","කරුණාකර ඔබේ පත්තුව තෝරන්න"
"","countryoptions.PleaseChooseYourPrefecture","කරුණාකර ඔබේ දිස්ත්‍රික්කය තෝරන්න"
"","countryoptions.PleaseEnterYourZipCode","කරුණාකර ඔබේ සිප් කේතය ඇතුල් කරන්න"
"","countryoptions.PleaseSelectACity","කරුණාකර නගරයක් තෝරන්න."
"","countryoptions.PleaseSelectACountry","කරුණාකර රටක් ඇතුල් කරන්න"
"","countryoptions.PostAdd","නොමිලේ ලුහුඬු දැන්වීමක් යොදන්න"
"","countryoptions.Prefecture","දිස්ත්‍රික්කය"
"","countryoptions.ProvinceRegion","පළාත/කලාපය"
"","countryoptions.provinceSelect","පළාත්:"
"","countryoptions.Region","ස්ථානය"
"","countryoptions.regionCantonSelect","කෝරලය:"
"","countryoptions.regionSelect","කලාප:"
"","countryoptions.SelectACanton","කෝරලයක් තෝරන්න"
"","countryoptions.SelectACity","නගරයක් තෝරන්න"
"","countryoptions.SelectACityInRegion","<<REGION>> හි නගරයක් තෝරන්න"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","දෙපාර්තමේන්තුවක් තෝරන්න"
"","countryoptions.SelectANeighborhood","අසල්වැසියෙක් තෝරන්න"
"","countryoptions.SelectAnEmirate","එමිරේට් එකක් තෝරන්න"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","පළාතක් තෝරන්න"
"","countryoptions.SelectARegion","කලාපයක් තෝරන්න"
"","countryoptions.SelectAState","ප්‍රාන්තයක් තෝරන්න"
"","countryoptions.SelectCanton","කෝරළය තෝරන්න"
"","countryoptions.SelectCityState","නගරය/ප්‍රාන්තය තෝරන්න"
"","countryoptions.SelectCountry","රට තෝරන්න"
"","countryoptions.SelectCounty","පත්තුවක් තෝරන්න"
"","countryoptions.SelectDepartament","දෙපාර්තමේන්තුවක් තෝරන්න"
"","countryoptions.SelectDepartment","දෙපාර්තමේන්තුවක් තෝරන්න"
"","countryoptions.SelectedRegion","තෝරන ලද කලාපය"
"","countryoptions.SelectOnTheMap","සිතියමේ තෝරන්න"
"","countryoptions.SelectPrefecture","දිස්ත්‍රික්කය තෝරන්න"
"","countryoptions.SelectProvince","පළාත තෝරන්න"
"","countryoptions.SelectRegion","කලාපය තෝරන්න"
"","countryoptions.SelectState","ප්‍රාන්තය තෝරන්න"
"","countryoptions.SendBrandBySmsToTheNumber","Send <<BRAND>> by SMS to the number 21616"
"","countryoptions.Send_OLX_to_number_3000","<<BLACKSTRONG>><<BRAND>><</BLACKSTRONG>> <<BLACKSTRONG>>3000<</BLACKSTRONG>> අංකයට යවන්න"
"","countryoptions.SiteLanguage","අඩවියේ භාෂාව"
"","countryoptions.State","කලාපය තෝරන්න"
"","countryoptions.stateSelect","ප්‍රාන්තයක් තෝරන්න:"
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","ඔබ තෝරන ලද නගරය බොහෝ ප්‍රාන්තවල තිබේ, කරුණාකර ඔබේ නගරය පිහිටා ඇති ප්‍රාන්තය තෝරන්න:"
"","countryoptions.Town","නගරය"
"","countryoptions.Wait","රැඳී සිටින්න..."
"","countryoptions.ZipCodeOrCity","සිප් කේතය හෝ නගරය"
"","defaultfooter.About OLX","<<BRAND>> ගැන"
"","defaultfooter.ADS_REGION","<<REGION>> යේ දැන්වීම්"
"","defaultfooter.AdvancedSearch","උසස් සෙවීම"
"","defaultfooter.AllListings","සියලු ලැයිස්තු"
"","defaultfooter.AllStates","නගර බ්‍රව්ස් කරන්න"
"","defaultfooter.Back","ආපසු"
"","defaultfooter.BrandFreeClassifieds","<<BRAND>> නොමිලේ ලුහුඩු දැන්වීම්"
"","defaultfooter.BrowseAds","දැන්වීම් බ්‍රව්ස් කරන්න"
"","defaultfooter.change","වෙනස් කරන්න"
"","defaultfooter.classifiedGratuitous","නොමිලේ ලුහුඬු දැන්වීම්"
"","defaultfooter.ClassifiedsAndMuchMore","ලුහුඬු දැන්වීම් හා තවත් බොහෝ දේවල්!"
"","defaultfooter.ClassifiedsHelp","ලුහුඬු දැන්වීම් උපකාර"
"","defaultfooter.ClassifiedsHome","ලුහුඬු දැන්වීම් මුල් පිටුව"
"","defaultfooter.Click","මෙතැන ක්ලික් කරන්න"
"","defaultfooter.ClickHere","මෙතැන ක්ලික් කරන්න"
"","defaultfooter.Distance","දුර"
"","defaultfooter.Exact","හරියටම"
"","defaultfooter.FreeSite","100% Free Classifieds"
"","defaultfooter.GoHome","මුල් පිටුවට යන්න"
"","defaultfooter.Hello","Hello, "
"","defaultfooter.Hello!","හෙලෝ!"
"","defaultfooter.Help","උපකාර"
"","defaultfooter.HelpUs","නව: <<BRAND>> දැන් වීඩියෝවලට ආධාර කෙරේ! දැන්ම පළ කරන්න!"
"","defaultfooter.Home","මුල් පිටුව"
"","defaultfooter.IntellectualPropertyProtectionServices","බුද්ධිමය දේපළ ආරක්ෂණ සේවා"
"","defaultfooter.ItemDetail","අයිතම විස්තරය"
"","defaultfooter.ListingLanguage","හි ලැයිස්තු"
"","defaultfooter.Location","ස්ථානය:"
"","defaultfooter.miles","සැතපුම්"
"","defaultfooter.MOBILE","ජංගම"
"","defaultfooter.My OLX","My OLX"
"","defaultfooter.MyAskHT.com","My askHT.com"
"","defaultfooter.Not_You?","ඔබ නොවේ"
"","defaultfooter.OLX","<<BRAND>>"
"","defaultfooter.OLX Official Time","<<BRAND>> නිල වේලාව"
"","defaultfooter.Optional","වෛකල්පිත"
"","defaultfooter.Or","හෝ"
"","defaultfooter.PopularSearches","ජනප්‍රිය සෙවීම්"
"","defaultfooter.Post","පළ කරන්න"
"","defaultfooter.PublishFreeAd","නොමිලේ දැන්වීමක් පළ කරන්න"
"","defaultfooter.Region","කලාපය"
"","defaultfooter.Register","ලියාපදිංචි කරන්න"
"","defaultfooter.Register2","ලියාපදිංචි කරන්න"
"","defaultfooter.Search","සොයන්න"
"","defaultfooter.SelectCityState","නගරය/ප්‍රාන්තය තෝරන්න"
"","defaultfooter.SelectCountry","රට තෝරන්න"
"","defaultfooter.Selected_Region","තෝරන ලද කලාපය"
"","defaultfooter.Sign_In","සයින් ඉන්"
"","defaultfooter.Sign_In2","සයින් ඉන්"
"","defaultfooter.SiteLanguage","ලැයිස්තු:"
"","defaultfooter.sitesAssociate","වෙනත් අදාළ අඩවි:"
"","defaultfooter.State","ප්‍රාන්තය"
"","defaultfooter.Terms of use","භාවිත කොන්දේසි"
"","defaultfooter.TheWeb","වෙබ්"
"","defaultfooter.VoteUrl","/index.php?a=1&newpost=1"
"","defaultfooter.Welcome","ආයුබෝවන්"
"","defaultheader2.AllListings","සියලු ලැයිස්තු"
"","defaultheader2.Click","මෙතැන ක්ලික් කරන්න"
"","defaultheader2.FreeSite","<AREA> නොමිලේ ලුහුඬු දැන්වීම්"
"","defaultheader2.Hello","Hello, "
"","defaultheader2.Help","උපකාර"
"","defaultheader2.Home","මුල් පිටුව"
"","defaultheader2.My OLX","My OLX"
"","defaultheader2.Not_You?","ඔබ නොවේ"
"","defaultheader2.OLX","<<BRAND>>"
"","defaultheader2.Or","හෝ"
"","defaultheader2.Post","පළ කරන්න"
"","defaultheader2.PublishFreeAd","නොමිලේ ලුහුඬු දැන්වීමක් පළ කරන්න"
"","defaultheader2.Register","ලියාපදිංචි කරන්න"
"","defaultheader2.Search","සොයන්න"
"","defaultheader2.TheWeb","වෙබ්"
"","defaultheader2.Welcome","ආයුබෝවන්"
"","defaultheader.'PublishFreeAd'","හෙලෝ"
"","defaultheader.AdvancedSearch","උසස් සෙවීම"
"","defaultheader.AllListings","සියලු ලැයිස්තු"
"","defaultheader.Apr","අප්‍රේ"
"","defaultheader.April","අප්‍රේල්"
"","defaultheader.Aug","අගෝ"
"","defaultheader.August","අගෝස්තු"
"","defaultheader.BackToBrandHomePage","ආපසු <<BRAND>> මුල් පිටුවට"
"","defaultheader.BookAnOnlineAd","Book an online AD"
"","defaultheader.BrandChannel","<<BRAND>> නාලිකාව"
"","defaultheader.BrandFullVersion","<<BRAND>> සම්පූර්ණ අනුවාදය"
"","defaultheader.BrandNowSupportsVideosPostNow","නව: <<BRAND>> දැන් වීඩියෝවලට ආධාර කෙරේ! දැන්ම පළ කරන්න!"
"","defaultheader.BrowseAds","දැන්වීම් බ්‍රව්ස් කරන්න"
"","defaultheader.Categories","<<BRAND>> කාණ්ඩ"
"","defaultheader.change","වෙනස් කරන්න"
"","defaultheader.Cities","නගර"
"","defaultheader.ClassifiedsAndMuchMore","ලුහුඬු දැන්වීම් හා තවත් බොහෝ දේවල්!"
"","defaultheader.ClassifiedsHelp","ලුහුඬු දැන්වීම් උපකාර"
"","defaultheader.ClassifiedsHome","ලුහුඬු දැන්වීම් මුල් පිටුව"
"","defaultheader.Click","මෙතැන ක්ලික් කරන්න"
"","defaultheader.ClickHere","මෙතැන ක්ලික් කරන්න"
"","defaultheader.CloseToYou","<<BRAND>> ඔබට සමීපය"
"","defaultheader.Dec","දෙසැ"
"","defaultheader.December","දෙසැම්බර්"
"","defaultheader.Distance","දුර"
