"location","source","target"
"","biderrorbody.Description1","Iz bezbednosnih razloga <<BRAND>> ograničava broj dozvoljenih dnevnih ponuda po korisniku.<br />Ako želite da dostavite ponude za više artikala, obratite nam se na "
"","biderrorbody.Hello","Zdravo"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Hvala!"
"","biderrorheader.Click","kliknite ovde"
"","biderrorheader.Hello","Zdravo, "
"","biderrorheader.Hello!","Zdravo!"
"","biderrorheader.Help","Pomoć"
"","biderrorheader.Home","Početna stranica"
"","biderrorheader.My OLX","Moj OLX"
"","biderrorheader.Not_You?","niste vi"
"","biderrorheader.Or","ili"
"","biderrorheader.Post","Objavljivanje"
"","biderrorheader.Register","Registrujte se"
"","buyerinfo.Buyer","Kupac"
"","buyerinfo.E-mail","E-adresa"
"","buyerinfo.Item","Artikal"
"","buyerinfo.OLXHomePage","Nazad na Moj OLX"
"","buyerinfo.PageTitle","Moj OLX >> <span class=""titOLX2"">Informacije o kupcu</span>"
"","buyerinfo.Price","Cena"
"","countryoptions.Accept","Prihvati"
"","countryoptions.AllCanton","Svi kantoni"
"","countryoptions.AllCities","Svi gradovi"
"","countryoptions.AllCounties","Svi okruzi"
"","countryoptions.AllDepartaments","Svi okruzi"
"","countryoptions.AllDepartments","Svi okruzi"
"","countryoptions.AllEmirate","Svi emirati"
"","countryoptions.AllLanguages","Svi jezici"
"","countryoptions.AllPrefectures","Sve prefekture"
"","countryoptions.AllProvince","Sve pokrajine"
"","countryoptions.AllRegions","Svi regioni"
"","countryoptions.AllStates","Još"
"","countryoptions.BrandMobile","<<BRAND>> Mobile"
"","countryoptions.Canton","Kanton"
"","countryoptions.ChangeCity","Promenite grad"
"","countryoptions.ChangeCountry","Promenite državu"
"","countryoptions.ChooseCountry","Izaberite oblast"
"","countryoptions.ChooseEmirate","Izaberite emirat"
"","countryoptions.ChooseProvince","Izaberite pokrajinu"
"","countryoptions.City","Grad:"
"","countryoptions.CityOrZip","Grad ili poštanski broj"
"","countryoptions.citySelect","Izaberite grad:"
"","countryoptions.ClickHereIfCantFindCity","Kliknite ovde ako ne možete da pronađete grad"
"","countryoptions.ClickHereToEnterACity","Kliknite ovde da biste uneli grad"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Kliknite ovde da biste uneli poštanski broj ili grad"
"","countryoptions.ClickHereToSelectTheCityFromAList","Kliknite ovde da biste izabrali grad sa liste"
"","countryoptions.Country","Država:"
"","countryoptions.County","Oblast"
"","countryoptions.departamentSelect","Najvažniji okruzi u"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Udaljenost"
"","countryoptions.Emirate","Emirat"
"","countryoptions.emirateSelect","Najvažniji emirati u"
"","countryoptions.EnterCity","Unesite grad"
"","countryoptions.EnterCityOrZipCode","Unesite grad ili poštanski broj"
"","countryoptions.EntireCountry","Cela država"
"","countryoptions.Exact","Tačno"
"","countryoptions.example","primer"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Još"
"","countryoptions.Home_SelectCanton","Izaberite kanton"
"","countryoptions.Home_SelectCity","Izaberite grad"
"","countryoptions.Home_SelectDepartment","Izaberite okrug"
"","countryoptions.Home_SelectEmirate","Izaberite emirat"
"","countryoptions.Home_SelectProvince","Izaberite pokrajinu"
"","countryoptions.Home_SelectRegion","Izaberite region"
"","countryoptions.Home_SelectState","Izaberite saveznu državu"
"","countryoptions.ListingLanguage","Jezik oglasa"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Potražite oglase u svom regionu tako što ćete ga izabrati na mapi"
"","countryoptions.Municipality","Opština"
"","countryoptions.NoCities","Sorry, we don't have any cities in this section"
"","countryoptions.NoCountries","Nema država u ovom odeljku"
"","countryoptions.Ok","U redu"
"","countryoptions.Or","Ili izaberite grad"
"","countryoptions.OrSelectACity","Ili izaberite grad"
"","countryoptions.OrSelectARegion","Ili izaberite region"
"","countryoptions.OtherCities","Drugi gradovi"
"","countryoptions.OtherCitiesInRegion","Drugi gradovi u <<REGION>>"
"","countryoptions.OtherProvinces","Druge pokrajine"
"","countryoptions.OtherRegions","Drugi regioni"
"","countryoptions.OtherStates","Druge savezne države"
"","countryoptions.PleaseChooseYourCity","Izaberite grad"
"","countryoptions.PleaseChooseYourCounty","Izaberite svoj okrug"
"","countryoptions.PleaseChooseYourPrefecture","Izaberite svoju prefekturu"
"","countryoptions.PleaseEnterYourZipCode","Unesite poštanski broj"
"","countryoptions.PleaseSelectACity","Izaberite grad."
"","countryoptions.PleaseSelectACountry","Izaberite državu"
"","countryoptions.PostAdd","Objavite mali oglas besplatno"
"","countryoptions.Prefecture","Prefektura"
"","countryoptions.ProvinceRegion","Pokrajina/region"
"","countryoptions.provinceSelect","Pokrajine:"
"","countryoptions.Region","Lokacija"
"","countryoptions.regionCantonSelect","Kantoni:"
"","countryoptions.regionSelect","Regioni:"
"","countryoptions.SelectACanton","Izaberite kanton"
"","countryoptions.SelectACity","Izaberite grad"
"","countryoptions.SelectACityInRegion","Izaberite grad u <<REGION>>"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","Izaberite okrug"
"","countryoptions.SelectANeighborhood","Izaberite okolno područje"
"","countryoptions.SelectAnEmirate","Izaberite emirat"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","Izaberite pokrajinu"
"","countryoptions.SelectARegion","Izaberite region"
"","countryoptions.SelectAState","Izaberite saveznu državu"
"","countryoptions.SelectCanton","Izaberite kanton"
"","countryoptions.SelectCityState","Izaberite grad/saveznu državu"
"","countryoptions.SelectCountry","Izaberite državu"
"","countryoptions.SelectCounty","Izaberite okrug"
"","countryoptions.SelectDepartament","Izaberite okrug"
"","countryoptions.SelectDepartment","Izaberite okrug"
"","countryoptions.SelectedRegion","Izaberite region"
"","countryoptions.SelectOnTheMap","Izaberite na mapi"
"","countryoptions.SelectPrefecture","Izaberite prefekturu"
"","countryoptions.SelectProvince","Izaberite pokrajinu"
"","countryoptions.SelectRegion","Izaberite region"
"","countryoptions.SelectState","Izaberite saveznu državu"
"","countryoptions.SendBrandBySmsToTheNumber","Send <<BRAND>> by SMS to the number 21616"
"","countryoptions.Send_OLX_to_number_3000","Pošalji <<BLACKSTRONG>><<BRAND>><</BLACKSTRONG>> broju<<BLACKSTRONG>>3000<</BLACKSTRONG>>"
"","countryoptions.SiteLanguage","Jezik lokacije"
"","countryoptions.State","Izaberite region"
"","countryoptions.stateSelect","Izaberite saveznu državu:"
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","Izabrani grad se nalazi u više država. Izaberite državu u kojoj se nalazi grad:"
"","countryoptions.Town","Grad"
"","countryoptions.Wait","Sačekajte..."
"","countryoptions.ZipCodeOrCity","Poštanski broj ili grad"
"","defaultfooter.About OLX","O kompaniji <<BRAND>>"
"","defaultfooter.ADS_REGION","Oglasi u <<REGION>>"
"","defaultfooter.AdvancedSearch","Napredna pretraga"
"","defaultfooter.AllListings","Svi oglasi"
"","defaultfooter.AllStates","Pretraga po gradovima"
"","defaultfooter.Back","Nazad"
"","defaultfooter.BrandFreeClassifieds","100% besplatni mali oglasi"
"","defaultfooter.BrowseAds","Pretraži oglase"
"","defaultfooter.change","promeni"
"","defaultfooter.classifiedGratuitous","besplatni mali oglasi"
"","defaultfooter.ClassifiedsAndMuchMore","Mali oglasi i još mnogo toga!"
"","defaultfooter.ClassifiedsHelp","Pomoć za male oglase"
"","defaultfooter.ClassifiedsHome","Početna stranica malih oglasa"
"","defaultfooter.Click","kliknite ovde"
"","defaultfooter.ClickHere","Kliknite ovde"
"","defaultfooter.Distance","Udaljenost"
"","defaultfooter.Exact","Tačno"
"","defaultfooter.FreeSite","100% besplatni mali oglasi"
"","defaultfooter.GoHome","Idi na početnu stranicu"
"","defaultfooter.Hello","Zdravo, "
"","defaultfooter.Hello!","Zdravo!"
"","defaultfooter.Help","Pomoć"
"","defaultfooter.HelpUs","Novo: <<BRAND>> sada podržava video zapise! Objavite ih odmah!"
"","defaultfooter.Home","Početna stranica"
"","defaultfooter.IntellectualPropertyProtectionServices","Usluge za zaštitu intelektualne svojine"
"","defaultfooter.ItemDetail","Detalji o oglasu"
"","defaultfooter.ListingLanguage","Jezik oglasa"
"","defaultfooter.Location","Lokacija:"
"","defaultfooter.miles","milja"
"","defaultfooter.MOBILE","MOBILE"
"","defaultfooter.My OLX","Moj OLX"
"","defaultfooter.MyAskHT.com","My askHT.com"
"","defaultfooter.Not_You?","niste vi"
"","defaultfooter.OLX","<<BRAND>>"
"","defaultfooter.OLX Official Time","<<BRAND>> zvanično vreme"
"","defaultfooter.Optional","Opcionalno"
"","defaultfooter.Or","ili"
"","defaultfooter.PopularSearches","Popularne pretrage"
"","defaultfooter.Post","Objavljivanje"
"","defaultfooter.PublishFreeAd","Objavite oglas besplatno"
"","defaultfooter.Region","Region"
"","defaultfooter.Register","Registrujte se"
"","defaultfooter.Register2","Registrujte se"
"","defaultfooter.Search","Pretraži"
"","defaultfooter.SelectCityState","Izaberite grad/saveznu državu"
"","defaultfooter.SelectCountry","Izaberite državu"
"","defaultfooter.Selected_Region","Izaberite region"
"","defaultfooter.Sign_In","Prijavite se"
"","defaultfooter.Sign_In2","Prijavite se"
"","defaultfooter.SiteLanguage","Jezik oglasa:"
"","defaultfooter.sitesAssociate","Druge srodne lokacije:"
"","defaultfooter.State","Savezna država"
"","defaultfooter.Terms of use","Uslovi upotrebe"
"","defaultfooter.TheWeb","Web"
"","defaultfooter.VoteUrl","/index.php?a=1&newpost=1"
"","defaultfooter.Welcome","Dobro došli"
"","defaultheader2.AllListings","Svi oglasi"
"","defaultheader2.Click","Kliknite ovde"
"","defaultheader2.FreeSite","<AREA> besplatni mali oglasi"
"","defaultheader2.Hello","Zdravo, "
"","defaultheader2.Help","stranici"
"","defaultheader2.Home","Početna stranica"
"","defaultheader2.My OLX","Moj OLX"
"","defaultheader2.Not_You?","niste vi"
"","defaultheader2.OLX","<<BRAND>>"
"","defaultheader2.Or","Ili"
"","defaultheader2.Post","Objavljivanje"
"","defaultheader2.PublishFreeAd","Objavite mali oglas besplatno"
"","defaultheader2.Register","se registrujte"
"","defaultheader2.Search","Pretraži"
"","defaultheader2.TheWeb","Web"
"","defaultheader2.Welcome","Dobro došli"
"","defaultheader.'PublishFreeAd'","Zdravo"
"","defaultheader.AdvancedSearch","Napredna pretraga"
"","defaultheader.AllListings","Svi oglasi"
"","defaultheader.Apr","Apr."
"","defaultheader.April","April"
"","defaultheader.Aug","Avg."
"","defaultheader.August","Avgust"
"","defaultheader.BackToBrandHomePage","Nazad na <<BRAND>> početnu stranicu "
"","defaultheader.BookAnOnlineAd","Book an online AD"
"","defaultheader.BrandChannel","<<BRAND>> kanal"
"","defaultheader.BrandFullVersion","<<BRAND>> puna verzija"
"","defaultheader.BrandNowSupportsVideosPostNow","Novo: <<BRAND>> sada podržava video zapise! Objavite ih odmah!"
"","defaultheader.BrowseAds","Pretraga oglasa"
"","defaultheader.Categories","<<BRAND>> kategorije"
"","defaultheader.change","Promeni"
