"location","source","target"
"","biderrorbody.Description1","பாதுகாப்புக்காரணங்களினால், தலா ஒரு பயனருக்கு அனுமதிக்கப்படும் தினசரி ஏல அழைப்புகளை<<BRAND>> கட்டுப்படுத்தும்.<br />மேலும்அதிகமான பொருட்களின் மீது நீங்கள் ஏலம் கேட்க விரும்பினால் தயவுசெய்து கீழ்க்காணும் முகவரியில் எங்களைத் தொடர்பு கொள்ளவும்:"
"","biderrorbody.Hello","ஹலோ"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","உங்களுக்கு நன்றி!"
"","biderrorheader.Click","இங்கு க்ளிக் செய்யவும்"
"","biderrorheader.Hello","ஹலோ,"
"","biderrorheader.Hello!","ஹலோ!"
"","biderrorheader.Help","உதவி"
"","biderrorheader.Home","முகப்பு"
"","biderrorheader.My OLX","என் OLX"
"","biderrorheader.Not_You?","நீங்கள் அல்ல"
"","biderrorheader.Or","அல்லது"
"","biderrorheader.Post","இடுதல்"
"","biderrorheader.Register","பதிவுசெய்துகொள்"
"","buyerinfo.Buyer","வாங்குநர்"
"","buyerinfo.E-mail","மின்னஞ்சல்"
"","buyerinfo.Item","பொருள்/உருப்படி"
"","buyerinfo.OLXHomePage","என் OLXக்குத் திரும்புக"
"","buyerinfo.PageTitle","என் OLX >> <span class=""titOLX2"">வாங்குநர் தகவல்</span>"
"","buyerinfo.Price","விலை"
"","countryoptions.Accept","ஏற்றுக்கொள்க"
"","countryoptions.AllCanton","எல்லா கான்டன்களும்"
"","countryoptions.AllCities","எல்லா நகரங்களும்"
"","countryoptions.AllCounties","எல்லா நாடுகளும்"
"","countryoptions.AllDepartaments","எல்லாத் துறைகளும்"
"","countryoptions.AllDepartments","எல்லாத் துறைகளும்"
"","countryoptions.AllEmirate","எல்லா அமீரகங்களும்"
"","countryoptions.AllLanguages","எல்லா மொழிகளும்"
"","countryoptions.AllPrefectures","எல்லாக் கோட்டங்களும்"
"","countryoptions.AllProvince","எல்லா மாகாணங்களும்"
"","countryoptions.AllRegions","எல்லாப் பிராந்தியங்களும்"
"","countryoptions.AllStates","மேலும்"
"","countryoptions.BrandMobile","<<BRAND>> மொபைல்"
"","countryoptions.Canton","கோட்டம்"
"","countryoptions.ChangeCity","நகரம் மாற்றுக"
"","countryoptions.ChangeCountry","நாடு மாற்றுக"
"","countryoptions.ChooseCountry","மாநிலப்பகுதியைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.ChooseEmirate","எமிரேட்டைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.ChooseProvince","மாகாணத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.City","நகரம்:"
"","countryoptions.CityOrZip","நகரம் அல்லது அஞ்சல் குறியீடு"
"","countryoptions.citySelect","ஒரு நகரத்தைத் தேர்ந்தெடுக்கவும்:"
"","countryoptions.ClickHereIfCantFindCity","உங்கள் நகரத்தை நீங்கள் காணமுடியவில்லையெனில் இங்கே 'க்ளிக்' செய்யவும்"
"","countryoptions.ClickHereToEnterACity","ஒரு நகரத்தை உள்ளிட இங்கு கிளிக் செய்யவும்"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","ஒரு பின்கோடுஎண் அல்லது நகரத்தை உள்ளிட இங்கு கிளிக் செய்யவும்."
"","countryoptions.ClickHereToSelectTheCityFromAList","பட்டியலில் இருந்து நகரத்தைத் தேர்வு செய்ய இங்கு கிளிக் செய்யவும்"
"","countryoptions.Country","நாடு:"
"","countryoptions.County","மாநிலப்பகுதி"
"","countryoptions.departamentSelect","இதன் மிக முக்கியத் துறைகள்:"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","தூரம்"
"","countryoptions.Emirate","எமிரேட்"
"","countryoptions.emirateSelect","இதன் மிக முக்கிய எமிரேட்டுகள்:"
"","countryoptions.EnterCity","ஒரு நகரத்தை உள்ளிடவும்"
"","countryoptions.EnterCityOrZipCode","ஒரு நகரத்தை அல்லது அஞ்சல் குறியீட்டை உள்ளிடுங்கள்"
"","countryoptions.EntireCountry","நாடு முழுவதும்"
"","countryoptions.Exact","உள்ளபடி"
"","countryoptions.example","உதாரணம்"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","மேலும்"
"","countryoptions.Home_SelectCanton","ஒரு கான்டனைத் தேர்ந்தெடுங்கள்"
"","countryoptions.Home_SelectCity","ஒரு நகரத்தைத் தேர்ந்தெடுங்கள்"
"","countryoptions.Home_SelectDepartment","ஒரு துறையைத் தேர்ந்தெடுங்கள்"
"","countryoptions.Home_SelectEmirate","ஒரு அமீரகத்தைத் தேர்ந்தெடுங்கள்"
"","countryoptions.Home_SelectProvince","ஒரு மாகாணத்தைத் தேர்ந்தெடுங்கள்"
"","countryoptions.Home_SelectRegion","ஒரு பிராந்தியத்தைத் தேர்ந்தெடுங்கள்"
"","countryoptions.Home_SelectState","ஒரு மாநிலத்தைத் தேர்ந்தெடுங்கள்:"
"","countryoptions.ListingLanguage","இதில் உருப்படிகள்:"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","உங்கள் பகுதியில் உள்ள விளம்பரங்களைக் காண வரைபடத்திலிருந்து தேர்ந்தெடுக்கவும்"
"","countryoptions.Municipality","நகராட்சி"
"","countryoptions.NoCities","Sorry, we don't have any cities in this section"
"","countryoptions.NoCountries","மன்னிக்கவும், இந்தப் பிரிவில் எந்த நாடுகளும் இல்லை"
"","countryoptions.Ok","சரி"
"","countryoptions.Or","அல்லது ஒரு நகரத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.OrSelectACity","அல்லது ஒரு நகரத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.OrSelectARegion","அல்லது ஒரு பிராந்தியத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.OtherCities","பிற நகரங்கள்"
"","countryoptions.OtherCitiesInRegion","<<REGION>>-ல் பிற நகரங்கள்"
"","countryoptions.OtherProvinces","பிற மாகாணங்கள்"
"","countryoptions.OtherRegions","பிற பகுதிகள்"
"","countryoptions.OtherStates","பிற மாநிலங்கள்"
"","countryoptions.PleaseChooseYourCity","உங்கள் நகரத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.PleaseChooseYourCounty","தயவுசெய்து உங்கள் மாநிலப்பகுதியினைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.PleaseChooseYourPrefecture","தயவுச்செய்து உங்கள் கோட்டத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.PleaseEnterYourZipCode","உங்கள் அஞ்சல் குறியீட்டை உள்ளிடவும்"
"","countryoptions.PleaseSelectACity","தயவுசெய்து ஒரு நகரத்தைத் தேர்ந்தெடுக்கவும்."
"","countryoptions.PleaseSelectACountry","தயவுசெய்து ஒரு நாட்டைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.PostAdd","ஒரு இலவச வரி விளம்பரத்தை வெளியிடுங்கள்"
"","countryoptions.Prefecture","கோட்டம்"
"","countryoptions.ProvinceRegion","மாகாணம்/பிராந்தியம்"
"","countryoptions.provinceSelect","மாகாணங்கள்:"
"","countryoptions.Region","இடம்"
"","countryoptions.regionCantonSelect","கோட்டங்கள்:"
"","countryoptions.regionSelect","பிராந்தியங்கள்:"
"","countryoptions.SelectACanton","ஒரு கோட்டத்தினைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectACity","ஒரு நகரத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectACityInRegion","<<REGION>>-ல் ஒரு நகரத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","ஒரு துறையைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectANeighborhood","ஒரு வட்டாரத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectAnEmirate","ஒரு எமிரேட்டினைத் தேர்ந்தெடுங்கள்"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","ஒரு மாகாணத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectARegion","ஒரு பிராந்தியத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectAState","ஒரு மாநிலத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectCanton","கோட்டத்தினைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectCityState","நகரத்தை/மாநிலத்தைத் தேர்ந்தெடுங்கள்"
"","countryoptions.SelectCountry","நாட்டைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectCounty","மாநிலப்பகுதியைத்  தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectDepartament","துறையைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectDepartment","துறையைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectedRegion","தேர்ந்தெடுக்கப்பட்ட பிராந்தியம்"
"","countryoptions.SelectOnTheMap","வரைபடத்தில் தேர்வு செய்யவும்"
"","countryoptions.SelectPrefecture","கோட்டம் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectProvince","மாகாணத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectRegion","பிராந்தியத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SelectState","மாநிலத்தைத் தேர்ந்தெடுக்கவும்"
"","countryoptions.SendBrandBySmsToTheNumber","Send <<BRAND>> by SMS to the number 21616"
"","countryoptions.Send_OLX_to_number_3000","<<BLACKSTRONG>><<BRAND>><</BLACKSTRONG>>ஐ <<BLACKSTRONG>>3000<</BLACKSTRONG>> என்ற எண்ணுக்கு அனுப்பவும்"
"","countryoptions.SiteLanguage","வலைத்தள மொழி"
"","countryoptions.State","பிராந்தியத்தைத் தேர்ந்தெடுங்கள்"
"","countryoptions.stateSelect","ஒரு மாநிலத்தைத் தேர்ந்தெடுக்கவும்:"
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","நீங்கள் தேர்ந்தெடுத்துள்ள நகரம் பல மாநிலங்களில் இருக்கிறது, உங்கள் நகரம் எந்த மாநிலத்தில் உள்ளது எனத் தேர்ந்தெடுங்கள்:"
"","countryoptions.Town","ஊர்"
"","countryoptions.Wait","காத்திருங்கள்..."
"","countryoptions.ZipCodeOrCity","பின்கோட் அல்லது நகரம்"
"","defaultfooter.About OLX","<<BRAND>> பற்றி"
"","defaultfooter.ADS_REGION","<<REGION>>-ல்  விளம்பரங்கள்"
"","defaultfooter.AdvancedSearch","நவீனமுறை தேடல்"
"","defaultfooter.AllListings","எல்லா விளம்பரங்களும்"
"","defaultfooter.AllStates","நகரங்கள் பட்டியலில் உலாவிப்பார்க்க"
"","defaultfooter.Back","பின்னோக்கிச் செல்"
"","defaultfooter.BrandFreeClassifieds","<<BRAND>> இலவச வரி விளம்பரங்கள்"
"","defaultfooter.BrowseAds","விளம்பரங்களைப் உலாவிப்பார்க்க"
"","defaultfooter.change","மாற்று"
"","defaultfooter.classifiedGratuitous","இலவச வரி விளம்பரங்கள்"
"","defaultfooter.ClassifiedsAndMuchMore","வரி விளம்பரங்கள் மற்றும் மேலும் அதிகமாக!"
"","defaultfooter.ClassifiedsHelp","வரி விளம்பரங்கள் உதவி"
"","defaultfooter.ClassifiedsHome","வரி விளம்பரங்கள் முகப்பு"
"","defaultfooter.Click","இங்கு க்ளிக் செய்யவும்"
"","defaultfooter.ClickHere","இங்கு க்ளிக் செய்யவும்"
"","defaultfooter.Distance","தூரம்"
"","defaultfooter.Exact","சரியான"
"","defaultfooter.FreeSite","100%இலவச வரிவிளம்பரங்கள்"
"","defaultfooter.GoHome","முகப்புக்குச் செல்"
"","defaultfooter.Hello","ஹலோ,"
"","defaultfooter.Hello!","ஹலோ!"
"","defaultfooter.Help","உதவி"
"","defaultfooter.HelpUs","புதிது: <<BRAND>>இல் இப்போது வீடியோ வசதி உண்டு! இப்போது வெளியிடுங்கள்!"
"","defaultfooter.Home","முகப்பு"
"","defaultfooter.IntellectualPropertyProtectionServices","அறிவுசார் சொத்துரிமை பாதுகாப்புச் சேவைகள்"
"","defaultfooter.ItemDetail","உருப்படி விவரம்"
"","defaultfooter.ListingLanguage","-ல் விளம்பரங்கள்:"
"","defaultfooter.Location","இடம்:"
"","defaultfooter.miles","மைல்கள்"
"","defaultfooter.MOBILE","மொபைல்"
"","defaultfooter.My OLX","என் OLX"
"","defaultfooter.MyAskHT.com","என் askHT.com"
"","defaultfooter.Not_You?","நீங்கள் அல்ல"
"","defaultfooter.OLX","<<BRAND>>"
"","defaultfooter.OLX Official Time","<<BRAND>> அதிகாரபூர்வ நேரம்"
"","defaultfooter.Optional","விருப்பத்திற்குரியது"
"","defaultfooter.Or","அல்லது"
"","defaultfooter.PopularSearches","ஜனரஞ்சகமான தேடல்கள்"
"","defaultfooter.Post","வெளியிடு"
"","defaultfooter.PublishFreeAd","ஒரு இலவச விளம்பரத்தை வெளியிடுங்கள்"
"","defaultfooter.Region","பிராந்தியம்"
"","defaultfooter.Register","பதிவுசெய்வுகொள்"
"","defaultfooter.Register2","பதிவுசெய்வுகொள்"
"","defaultfooter.Search","தேடுக"
"","defaultfooter.SelectCityState","நகரத்தை/மாநிலத்தைத் தேர்ந்தெடுக்கவும்"
"","defaultfooter.SelectCountry","நாட்டைத் தேர்ந்தெடுக்கவும்"
"","defaultfooter.Selected_Region","தேர்ந்தெடுக்கப்பட்ட பிராந்தியம்"
"","defaultfooter.Sign_In","நுழையுங்கள்"
"","defaultfooter.Sign_In2","நுழையுங்கள்"
"","defaultfooter.SiteLanguage","-ல் விளம்பரங்கள்:"
"","defaultfooter.sitesAssociate","தொடர்பான பிற வலைத்தளங்கள்:"
