"location","source","target"
"","biderrorbody.Description1","З метою безпеки <<BRAND>> обмежує кількість пропозицій в день на кожного користувача.<br />Якщо ви бажаєте подавати більшу кількість пропозицій, зв'яжіться з нами за наступними координатами:"
"","biderrorbody.Hello","Вітаємо"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Дякуємо!"
"","biderrorheader.Click","натисніть тут"
"","biderrorheader.Hello","Вітаємо, "
"","biderrorheader.Hello!","Вітаємо!"
"","biderrorheader.Help","Допомога"
"","biderrorheader.Home","Головна сторінка"
"","biderrorheader.My OLX","Мій ""OLX"""
"","biderrorheader.Not_You?","не ви"
"","biderrorheader.Or","або"
"","biderrorheader.Post","Публікувати"
"","biderrorheader.Register","Реєстрація"
"","buyerinfo.Buyer","Покупець"
"","buyerinfo.E-mail","Електронна адреса"
"","buyerinfo.Item","Товар"
"","buyerinfo.OLXHomePage","Назад до розділу ""Мій ""OLX"""
"","buyerinfo.PageTitle","Мій ""OLX"">> <span class=""titOLX2"">Інформація про покупця</span>"
"","buyerinfo.Price","Ціна"
"","countryoptions.Accept","Прийняти"
"","countryoptions.AllCanton","Всі кантони"
"","countryoptions.AllCities","Всі міста"
"","countryoptions.AllCounties","Всі країни"
"","countryoptions.AllDepartaments","Всі департаменти"
"","countryoptions.AllDepartments","Всі відділи"
"","countryoptions.AllEmirate","Всі емірати"
"","countryoptions.AllLanguages","Всі мови"
"","countryoptions.AllPrefectures","Всі префектури"
"","countryoptions.AllProvince","Всі області"
"","countryoptions.AllRegions","Всі райони"
"","countryoptions.AllStates","Більше"
"","countryoptions.BrandMobile","Мобільний <<BRAND>>"
"","countryoptions.Canton","Кантон"
"","countryoptions.ChangeCity","Змінити місто"
"","countryoptions.ChangeCountry","Змінити країну"
"","countryoptions.ChooseCountry","Виберіть країну"
"","countryoptions.ChooseEmirate","Вибери емірат"
"","countryoptions.ChooseProvince","Вибери область"
"","countryoptions.City","Місто:"
"","countryoptions.CityOrZip","Місто або індекс"
"","countryoptions.citySelect","Виберіть місто"
"","countryoptions.ClickHereIfCantFindCity","Натисніть тут, якщо ви не можете знайти ваше місто"
"","countryoptions.ClickHereToEnterACity","Введіть місто"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Введіть поштовий індекс або місто"
"","countryoptions.ClickHereToSelectTheCityFromAList","Оберіть місто зі списку"
"","countryoptions.Country","Країна:"
"","countryoptions.County","Країна"
"","countryoptions.departamentSelect","Найважливіші департаменти"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Відстань"
"","countryoptions.Emirate","Емірат"
"","countryoptions.emirateSelect","Найважливіші емірати"
"","countryoptions.EnterCity","Введіть місто"
"","countryoptions.EnterCityOrZipCode","Введіть місто або індекс"
"","countryoptions.EntireCountry","Введіть країну"
"","countryoptions.Exact","Точний"
"","countryoptions.example","приклад"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Більше"
"","countryoptions.Home_SelectCanton","Виберіть кантон"
"","countryoptions.Home_SelectCity","Виберіть місто"
"","countryoptions.Home_SelectDepartment","Виберіть департамент"
"","countryoptions.Home_SelectEmirate","Виберіть емірат"
"","countryoptions.Home_SelectProvince","Виберіть область"
"","countryoptions.Home_SelectRegion","Виберіть район"
"","countryoptions.Home_SelectState","Виберіть штат"
"","countryoptions.ListingLanguage","Мова оголошення"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Шукаючи оголошення з вашого регіону, оберіть його на мапі"
"","countryoptions.Municipality","Муніципалітет"
"","countryoptions.NoCities","Вибач, али ми не маємо міст в цій секції"
"","countryoptions.NoCountries","Вибачте, але жодна країна не представлена у цьому розділі"
"","countryoptions.Ok","OK"
"","countryoptions.Or","Або виберіть місто"
"","countryoptions.OrSelectACity","Або виберіть місто"
"","countryoptions.OrSelectARegion","Або виберіть район"
"","countryoptions.OtherCities","Інші міста"
"","countryoptions.OtherCitiesInRegion","Інші міста в області: <<REGION>>"
"","countryoptions.OtherProvinces","Інші провінції"
"","countryoptions.OtherRegions","Інші регіони"
"","countryoptions.OtherStates","Інші штати"
"","countryoptions.PleaseChooseYourCity","Виберіть ваше місто"
"","countryoptions.PleaseChooseYourCounty","Виберіть свою країну"
"","countryoptions.PleaseChooseYourPrefecture","Виберіть свою префектуру"
"","countryoptions.PleaseEnterYourZipCode","Введіть ваш поштовий індекс"
"","countryoptions.PleaseSelectACity","Виберіть місто."
"","countryoptions.PleaseSelectACountry","Виберіть країну"
"","countryoptions.PostAdd","Публікувати безкоштовне оголошення"
"","countryoptions.Prefecture","Префектура"
"","countryoptions.ProvinceRegion","Область/Район"
"","countryoptions.provinceSelect","Області:"
"","countryoptions.Region","Місцезнаходження"
"","countryoptions.regionCantonSelect","Кантони:"
"","countryoptions.regionSelect","Райони:"
"","countryoptions.SelectACanton","Виберіть кантон"
"","countryoptions.SelectACity","Виберіть місто"
"","countryoptions.SelectACityInRegion","Виберіть місто в області: <<REGION>>"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","Виберіть департамент"
"","countryoptions.SelectANeighborhood","Виберіть сусідство"
"","countryoptions.SelectAnEmirate","Виберіть емірат"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","Виберіть область"
"","countryoptions.SelectARegion","Виберіть район"
"","countryoptions.SelectAState","Виберіть штат"
"","countryoptions.SelectCanton","Виберіть кантон"
"","countryoptions.SelectCityState","Виберіть місто/штат"
"","countryoptions.SelectCountry","Виберіть країну"
"","countryoptions.SelectCounty","Виберіть країну"
"","countryoptions.SelectDepartament","Виберіть департамент"
"","countryoptions.SelectDepartment","Вибери відділ"
"","countryoptions.SelectedRegion","Вибрати область"
"","countryoptions.SelectOnTheMap","Обрати на мапі"
"","countryoptions.SelectPrefecture","Виберіть префектуру"
"","countryoptions.SelectProvince","Виберіть область"
"","countryoptions.SelectRegion","Виберіть район"
"","countryoptions.SelectState","Виберіть штат"
"","countryoptions.SendBrandBySmsToTheNumber","Send <<BRAND>> by SMS to the number 21616"
"","countryoptions.Send_OLX_to_number_3000","Відправте <<BLACKSTRONG>><<BRAND>><</BLACKSTRONG>> на номер <<BLACKSTRONG>>3000<</BLACKSTRONG>>"
"","countryoptions.SiteLanguage","Мова сайту"
"","countryoptions.State","Виберіть район"
"","countryoptions.stateSelect","Виберіть штат:"
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","Місто з такою назвою знаходиться у декількох областях. Виберіть необхідну область:"
"","countryoptions.Town","Місто"
"","countryoptions.Wait","Зачекайте..."
"","countryoptions.ZipCodeOrCity","Поштовий індекс або місто"
"","defaultfooter.About OLX","Про ""<<BRAND>>"""
"","defaultfooter.ADS_REGION","Оголошення в області: <<REGION>>"
"","defaultfooter.AdvancedSearch","Розширений пошук"
"","defaultfooter.AllListings","Всі оголошення"
"","defaultfooter.AllStates","Списки міст"
"","defaultfooter.Back","Назад"
"","defaultfooter.BrandFreeClassifieds","100% безкоштовні оголошення "
"","defaultfooter.BrowseAds","Переглянути оголошення"
"","defaultfooter.change","змінити"
"","defaultfooter.classifiedGratuitous","безкоштовні оголошення"
"","defaultfooter.ClassifiedsAndMuchMore","Оголошення та багато іншого!"
"","defaultfooter.ClassifiedsHelp","Допомога щодо оголошень"
"","defaultfooter.ClassifiedsHome","Початок оголошень"
"","defaultfooter.Click","натисніть тут"
"","defaultfooter.ClickHere","Натисніть тут"
"","defaultfooter.Distance","Відстань"
"","defaultfooter.Exact","Точно"
"","defaultfooter.FreeSite","100% безкоштовні оголошення "
"","defaultfooter.GoHome","До головної сторінки"
"","defaultfooter.Hello","Вітаємо, "
