"location","source","target"
"","biderrorbody.Description1","سلامتی کی وجوہات کی بناء پر، <<BRAND>> ہر صارف کو اجازت شدہ روزانہ بولیوں کی تعداد کو محدود کرے گی۔ <br /> اگر آپ مزید اشیاء پر بولی دینا چاہتے ہیں تو ہم سے رابطہ کیجیے"
"","biderrorbody.Hello","ہیلو"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","آپ کا شکریہ!"
"","biderrorheader.Click","یہاں کلک کریں "
"","biderrorheader.Hello","ہیلو، "
"","biderrorheader.Hello!","ہیلو!"
"","biderrorheader.Help","مدد"
"","biderrorheader.Home","گھر"
"","biderrorheader.My OLX","میرا OLX"
"","biderrorheader.Not_You?","آپ نہیں "
"","biderrorheader.Or","یا "
"","biderrorheader.Post","پوسٹ کریں "
"","biderrorheader.Register","رجسٹر کریں "
"","buyerinfo.Buyer","خریدار"
"","buyerinfo.E-mail","ای میل"
"","buyerinfo.Item","چیز"
"","buyerinfo.OLXHomePage","واپس میرا OLX کو"
"","buyerinfo.PageTitle","میرا OLX << <span class=""titOLX2""> خریدار کی معلومات</span>"
"","buyerinfo.Price","قیمت"
"","countryoptions.Accept","قبول کریں"
"","countryoptions.AllCanton","تمام کینٹونیں"
"","countryoptions.AllCities","تمام شہر"
"","countryoptions.AllCounties","تمام کاؤنٹیاں"
"","countryoptions.AllDepartaments","تمام شعبے"
"","countryoptions.AllDepartments","تمام شعبے"
"","countryoptions.AllEmirate","تمام امارات"
"","countryoptions.AllLanguages","تمام زبانیں"
"","countryoptions.AllPrefectures","تمام پریفیکچریں"
"","countryoptions.AllProvince","تمام صوبے"
"","countryoptions.AllRegions","تمام علاقے"
"","countryoptions.AllStates","مزید"
"","countryoptions.BrandMobile","<<BRAND>> موبائل"
"","countryoptions.Canton","ضلع"
"","countryoptions.ChangeCity","شہر تبدیل کریں"
"","countryoptions.ChangeCountry","ملک تبدیل کریں"
"","countryoptions.ChooseCountry","ملک منتخب کریں:"
"","countryoptions.ChooseEmirate","امارت منتخب کریں"
"","countryoptions.ChooseProvince","صوبہ منتخب کریں"
"","countryoptions.City","شہر:"
"","countryoptions.CityOrZip","شہر یا زپ کوڈ"
"","countryoptions.citySelect","کوئی شہر منتخب کریں:"
"","countryoptions.ClickHereIfCantFindCity","اگر آپ اپنا شہر نہیں ڈھونڈ سکتے تو یہاں کلک کریں "
"","countryoptions.ClickHereToEnterACity","شہر لکھنے کے لیے یہاں کلک کریں۔"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","زپ کوڈ یا شہر لکھنے کے لیے یہاں کلک کریں"
